背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,大平 啓輔,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,4,1.0,0.0,25.0
2,,安野 忍,1,,□,,,,2,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,坂本 雄一郎,3,■,■,■,,,9,4,0,44.4,1.33,0,0,0,-,2,0.67,7,0,2,0,0.0,0,0.0,0.0,-
4,,星野 知敬,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,6,0,1,1,4.2,0,0.0,0.0,-
5,,平山 譲,2,■,■,,,,7,2,1,28.6,1.00,0,0,0,-,0,-,6,0,2,1,4.2,1,0.0,0.0,0.0
6,,桐生 志康,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-
8,,桑田 鎮典,3,■,■,■,,,23,11,3,47.8,3.67,9,4,1,44.4,1,0.33,9,0,4,2,5.6,1,0.0,0.0,0.0
9,,石川 剛,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,清水 利公,3,■,■,■,,,17,9,4,52.9,3.00,0,0,0,-,1,0.33,10,0,1,2,5.0,26,21.0,0.0,80.8
12,L,八代 昌之,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,10.0,0.0,71.4
13,,立石 武史,1,,,■,,,3,1,1,33.3,1.00,0,0,0,-,0,-,5,0,1,2,10.0,0,0.0,0.0,-
15,,清水 克彦,3,■,■,■,,,12,2,3,16.7,0.67,0,0,0,-,2,0.67,5,0,0,2,10.0,16,10.0,0.0,62.5
チーム合計,チーム合計,チーム合計,3,,,,,,74,30,12,40.5,10.00,9,4,1,44.4,6,2.00,52,0,11,11,5.3,62,42.0,0.0,67.7
