背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,諸隈 直樹,4,■,■,■,■,,22,9,3,40.9,2.25,10,4,1,40.0,4,1.00,19,2,2,3,13.4,3,2.0,0.0,66.7
4,,成田 貴志,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,2,0.50,13,0,0,1,1.9,0,0.0,0.0,-
5,,浜口 純一,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
6,,青山 繁,4,■,■,■,■,,28,12,2,42.9,3.00,2,0,0,0.0,1,0.25,10,0,2,2,5.0,24,22.0,0.0,91.7
8,,金牧 貴久,1,□,,,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,吉永 文幸,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0.0,0.0,-
10,,出倉 諭,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,2,0,0.0,0,0.0,0.0,-
11,,植田 雅之,4,■,■,■,■,,13,8,0,61.5,2.00,0,0,0,-,4,1.00,10,0,0,0,0.0,0,0.0,0.0,-
14,,川浦 博昭,4,■,■,■,■,,20,9,1,45.0,2.25,1,0,0,0.0,4,1.00,12,0,1,2,4.2,1,0.0,0.0,0.0
15,,倉内 哲,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,L,花野 裕祥,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,53,45.0,0.0,84.9
18,,増村 雅尚,4,■,■,■,■,,28,8,1,28.6,2.00,8,3,0,37.5,1,0.25,16,1,3,7,15.9,2,1.0,0.0,50.0
チーム合計,チーム合計,チーム合計,4,,,,,,113,47,7,41.6,11.75,21,7,1,33.3,16,4.00,87,3,11,16,7.6,83,70.0,0.0,84.3
