背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,細川 延由,3,■,■,■,,,18,9,1,50.0,3.00,0,0,0,-,1,0.33,16,2,0,4,17.5,29,19.0,0.0,65.5
3,L,大森 陽祐,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,8,7.0,0.0,87.5
5,,大関 元樹,2,■,■,,,,6,3,0,50.0,1.50,0,0,0,-,0,-,8,1,0,4,25.0,1,0.0,0.0,0.0
6,,竹内 実,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,青木 一平,2,,□,■,,,5,3,0,60.0,1.50,0,0,0,-,1,0.50,1,0,1,0,0.0,0,0.0,0.0,-
11,,渡邉 正堂,3,■,■,■,,,7,4,0,57.1,1.33,0,0,0,-,1,0.33,12,0,0,5,10.4,0,0.0,0.0,-
12,,奥田 晃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,鎌田 修,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
16,,佐藤 宝男,3,■,■,■,,,17,9,1,52.9,3.00,2,1,1,50.0,0,-,15,0,1,4,6.7,14,11.0,0.0,78.6
18,,ロドリゲス アンデルソン,3,■,■,■,,,24,14,1,58.3,4.67,7,4,0,57.1,1,0.33,8,0,4,3,9.4,0,0.0,0.0,-
20,,大村 悟,3,□,□,□,,,3,1,1,33.3,0.33,0,0,0,-,0,-,4,1,0,1,26.2,3,2.0,0.0,66.7
21,,宇佐美 大輔,3,■,■,■,,,2,0,0,0.0,-,1,0,0,0.0,4,1.33,9,0,2,3,8.3,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,82,43,4,52.4,14.33,10,5,1,50.0,8,2.67,74,4,8,24,13.0,55,39.0,0.0,70.9
