背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,宮下 雅寛,2,,□,■,,,1,1,0,100.0,0.50,0,0,0,-,1,0.50,7,0,1,3,10.7,0,0.0,0.0,-
2,,平野 信孝,1,,□,,,,0,0,0,-,-,0,0,0,-,1,1.00,2,0,0,0,0.0,0,0.0,0.0,-
3,,苅谷 淳司,2,■,■,,,,1,0,0,0.0,-,0,0,0,-,0,-,4,0,2,0,0.0,0,0.0,0.0,-
4,,河野 裕輔,2,■,,■,,,12,2,1,16.7,1.00,4,1,1,25.0,0,-,3,0,1,0,0.0,0,0.0,0.0,-
5,,丹山 禎昭,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,下田 悟,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,0.0,0.0
8,,徳元 幸人,3,■,■,■,,,15,5,2,33.3,1.67,1,0,0,0.0,1,0.33,7,0,0,1,3.6,19,16.0,0.0,84.2
10,,直弘 龍治,2,□,■,,,,9,3,1,33.3,1.50,3,1,1,33.3,0,-,3,0,0,0,0.0,0,0.0,0.0,-
11,,前田 悟,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,13,0,2,3,5.8,0,0.0,0.0,-
12,L,山本 健之,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,24,19.0,0.0,79.2
20,,尾上 健司,3,■,■,■,,,6,2,1,33.3,0.67,0,0,0,-,3,1.00,11,0,0,2,4.5,0,0.0,0.0,-
21,,サベリエフ イリア,3,■,■,■,,,24,15,1,62.5,5.00,8,5,1,62.5,2,0.67,12,0,3,5,10.4,16,9.0,0.0,56.2
チーム合計,チーム合計,チーム合計,3,,,,,,68,28,6,41.2,9.33,16,7,3,43.8,8,2.67,63,0,9,14,5.6,60,44.0,0.0,73.3
