背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,山田 博文,2,,,□,■,,7,1,1,14.3,0.50,0,0,0,-,0,-,5,0,1,1,5.0,16,10.0,0.0,62.5
2,,山崎 典行,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,山中 正博,2,■,■,,,,25,10,0,40.0,5.00,7,3,0,42.9,1,0.50,4,0,1,1,6.2,0,0.0,0.0,-
5,,高橋 智則,4,■,■,■,□,,26,9,2,34.6,2.25,2,1,0,50.0,1,0.25,7,0,0,2,7.1,17,13.0,0.0,76.5
6,,熊谷 豪,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,0,-,10,1,3,2,15.0,0,0.0,0.0,-
7,,伊藤 淳,4,■,■,■,■,,8,6,0,75.0,1.50,0,0,0,-,2,0.50,9,0,0,0,0.0,0,0.0,0.0,-
8,,鈴木 孝政,2,□,□,,,,2,0,0,0.0,-,0,0,0,-,0,-,1,0,1,0,0.0,4,2.0,0.0,50.0
9,,丸山 利明,4,■,■,■,■,,17,4,3,23.5,1.00,1,0,0,0.0,0,-,21,3,3,7,21.7,21,13.0,0.0,61.9
10,,末次 志朗,4,□,■,■,■,,9,6,0,66.7,1.50,0,0,0,-,2,0.50,9,1,1,0,8.9,1,1.0,0.0,100.0
11,L,舩越 健太郎,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,16.0,0.0,57.1
14,,大坪 史明,3,,□,■,■,,18,10,4,55.6,3.33,11,5,3,45.5,0,-,7,1,2,2,21.4,1,1.0,0.0,100.0
23,,南 克幸,1,■,,,,,3,1,0,33.3,1.00,1,1,0,100.0,1,1.00,9,2,1,4,28.9,1,1.0,0.0,100.0
チーム合計,チーム合計,チーム合計,4,,,,,,115,47,10,40.9,11.75,22,10,3,45.5,7,1.75,82,8,13,19,14.6,89,57.0,0.0,64.0
