背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,青山 繁,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
2,L,田辺 修,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,7,6.0,0.0,85.7
3,,柴田 恭平,3,■,■,■,,,20,8,2,40.0,2.67,7,2,2,28.6,2,0.67,11,0,2,2,4.5,0,0.0,0.0,-
7,,齋藤 信治,3,■,■,■,,,9,5,0,55.6,1.67,0,0,0,-,0,-,9,0,0,3,8.3,0,0.0,0.0,-
8,,高杉 洋平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,阿部 裕太,2,,□,■,,,1,0,1,0.0,-,0,0,0,-,0,-,7,0,1,2,7.1,0,0.0,0.0,-
10,,越谷 章,3,■,■,■,,,18,13,1,72.2,4.33,3,3,0,100.0,1,0.33,9,0,2,4,11.1,33,20.0,0.0,60.6
11,,小林 敦,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,今田 祐介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,篠田 歩,3,■,■,■,,,9,7,0,77.8,2.33,0,0,0,-,1,0.33,12,1,2,2,12.5,4,3.0,0.0,75.0
18,,ディアズ ルイス,3,■,■,■,,,28,16,1,57.1,5.33,11,8,0,72.7,0,-,12,0,3,4,8.3,21,11.0,0.0,52.4
20,,山本 太二,2,■,■,,,,0,0,0,-,-,0,0,0,-,1,0.50,6,0,0,4,16.7,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,85,49,5,57.6,16.33,21,13,2,61.9,5,1.67,68,1,10,21,9.2,65,40.0,0.0,61.5
