背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
3,L,福田 誉,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
5,,上場 雄也,3,■,■,■,,,9,1,2,11.1,0.33,0,0,0,-,0,-,12,0,5,3,6.2,1,1.0,0.0,100.0
6,,山内 隆宏,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-
8,,大庭 健裕,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,山岡 祐也,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,0,-,4,0,1,0,0.0,0,0.0,0.0,-
12,,阿部 篤史,1,□,,,,,2,1,0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,加賀 龍哉,3,■,■,■,,,5,1,0,20.0,0.33,0,0,0,-,2,0.67,11,0,1,3,6.8,0,0.0,0.0,-
17,,橋場 正裕,1,,,□,,,2,0,1,0.0,-,2,0,1,0.0,0,-,3,0,2,0,0.0,6,5.0,0.0,83.3
18,,山本 雄史,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,鎌田 智勝,3,■,■,■,,,11,5,1,45.5,1.67,1,1,0,100.0,0,-,6,0,3,0,0.0,5,2.0,0.0,40.0
23,,山本 洋平,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,2.0,0.0,100.0
27,L,三上 圭治郎,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,7.0,0.0,70.0
28,,前田 和樹,3,■,■,■,,,18,12,0,66.7,4.00,2,2,0,100.0,1,0.33,11,1,3,6,20.9,35,23.0,0.0,65.7
99,,ゾボレビー ガブリエル,3,■,■,■,,,36,15,3,41.7,5.00,14,7,1,50.0,1,0.33,11,0,3,3,6.8,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,84,35,7,41.7,11.67,19,10,2,52.6,4,1.33,61,1,18,16,7.9,59,40.0,0.0,67.8
