背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,松本 慶彦,3,,■,■,■,,7,3,1,42.9,1.00,0,0,0,-,1,0.33,7,1,0,3,25.0,0,0.0,0.0,-
2,L,井上 裕介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,石島 雄介,3,,■,■,■,,14,7,0,50.0,2.33,2,1,0,50.0,4,1.33,10,0,2,0,0.0,21,14.0,0.0,66.7
4,,北島 武,4,■,■,■,■,,25,9,4,36.0,2.25,2,0,1,0.0,3,0.75,16,0,2,8,12.5,29,16.0,0.0,55.2
5,,内藤 和也,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0.0,0.0,-
7,,エンダキ エムブレイ,4,■,■,■,■,,33,16,6,48.5,4.00,17,4,6,23.5,3,0.75,18,2,4,6,18.3,0,0.0,0.0,-
8,,金井 修也,3,,□,■,■,,2,2,0,100.0,0.67,0,0,0,-,0,-,10,0,1,3,7.5,0,0.0,0.0,-
9,,名田 篤史,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,木内 学,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,横田 一義,4,■,■,■,■,,13,6,1,46.2,1.50,0,0,0,-,1,0.25,19,1,0,5,10.8,1,0.0,0.0,0.0
14,L,坂梨 朋彦,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,21,14.0,0.0,66.7
16,,西尾 太作,1,■,,,,,10,2,1,20.0,2.00,1,1,0,100.0,1,1.00,3,0,1,0,0.0,3,0.0,0.0,0.0
18,,大道 大輔,2,■,,□,,,3,0,0,0.0,-,0,0,0,-,1,0.50,3,0,1,0,0.0,2,1.0,0.0,50.0
19,,今村 駿,3,■,■,,□,,0,0,0,-,-,0,0,0,-,2,0.67,6,0,2,2,8.3,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,107,45,13,42.1,11.25,22,6,7,27.3,16,4.00,95,4,14,28,11.2,77,45.0,0.0,58.4
