背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,清水 邦広,4,■,■,■,■,,42,25,2,59.5,6.25,23,16,1,69.6,3,0.75,19,3,4,2,17.4,1,0.0,0.0,0.0
2,,深津 英臣,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,2,0.50,14,0,1,2,3.6,0,0.0,0.0,-
3,,山添 信也,4,■,■,■,■,,9,7,0,77.8,1.75,0,0,0,-,0,-,21,1,1,4,9.5,0,0.0,0.0,-
4,,冨士本 大生,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
5,,渡辺 奏吾,4,■,■,■,■,,12,5,2,41.7,1.25,2,1,1,50.0,0,-,17,1,1,5,13.2,14,4.0,0.0,28.6
6,,白澤 健児,4,■,■,■,■,,6,2,0,33.3,0.50,0,0,0,-,1,0.25,9,0,1,3,8.3,0,0.0,0.0,-
8,,谷村 孝,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,3,1.0,0.0,33.3
11,,池田 政之,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,専田 和也,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-
14,,田城 貴之,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,大竹 貴久,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,L,永野 健,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,16.0,0.0,84.2
18,,ダンチ アマラウ,4,■,■,■,■,,40,18,5,45.0,4.50,6,3,1,50.0,3,0.75,16,0,3,3,4.7,26,15.0,0.0,57.7
19,L,合田 心平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,109,57,9,52.3,14.25,31,20,3,64.5,9,2.25,97,5,12,19,9.8,63,36.0,0.0,57.1
