背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,L,鶴田 大樹,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,11.0,5.0,71.1
2,,鈴木 寛史,4,■,■,■,■,,13,7,1,53.8,1.75,0,0,0,-,2,0.50,10,0,1,1,0.0,0,0.0,0.0,-
3,,高橋 賢,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,エスコバル ヤドリアン,4,■,■,■,■,,35,19,7,54.3,4.75,16,10,2,62.5,2,0.50,15,1,4,4,6.7,0,0.0,0.0,-
5,L,酒井 大祐,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,岡本 祥吾,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,大宅 真樹,4,■,■,■,■,,3,0,0,0.0,-,0,0,0,-,1,0.25,13,0,2,2,0.0,0,0.0,0.0,-
10,,藤中 謙也,4,■,■,■,■,,25,10,4,40.0,2.50,3,2,0,66.7,0,-,11,1,1,2,11.4,20,8.0,7.0,57.5
12,,塩田 達也,3,,□,□,□,,1,1,0,100.0,0.33,0,0,0,-,0,-,1,0,1,0,-25.0,1,1.0,0.0,100.0
13,,松林 憲太郎,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-
17,,星谷 健太朗,4,■,■,■,■,,10,5,0,50.0,1.25,0,0,0,-,2,0.50,12,0,1,1,0.0,1,1.0,0.0,100.0
18,,小川 猛,2,□,,,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-
19,,栗山 雅史,4,■,■,■,■,,22,10,0,45.5,2.50,3,1,0,33.3,2,0.50,16,0,1,3,3.1,31,15.0,6.0,58.1
20,,米山 達也,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,1,0,0,20.0,5,2.0,0.0,40.0
チーム合計,チーム合計,チーム合計,4,,,,,,109,52,12,47.7,13.00,22,13,2,59.1,9,2.25,87,3,12,14,4.0,77,38.0,18.0,61.0
