背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
4,,小林 哲也,3,■,■,□,,,19,7,1,36.8,2.33,8,2,1,25.0,1,0.33,6,0,1,0,-4.2,0,0.0,0.0,-
7,,栗木 勇,3,■,■,■,,,27,13,1,48.1,4.33,3,0,0,0.0,0,-,11,0,1,3,4.5,21,7.0,9.0,54.8
8,,田中 挙章,1,,,■,,,2,1,0,50.0,1.00,0,0,0,-,0,-,3,0,2,0,-16.7,1,1.0,0.0,100.0
12,L,山本 憲吾,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,9.0,6.0,54.5
13,,椿 芽久,3,■,■,□,,,1,1,0,100.0,0.33,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-
14,,矢貫 龍馬,3,■,■,■,,,8,4,1,50.0,1.33,0,0,0,-,0,-,9,0,0,2,5.6,4,4.0,0.0,100.0
15,,小河原 拓磨,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,森崎 健史,3,■,■,□,,,9,7,1,77.8,2.33,0,0,0,-,0,-,8,0,3,1,-6.2,0,0.0,0.0,-
17,,松村 文斗,1,,□,,,,3,0,0,0.0,-,1,0,0,0.0,0,-,1,0,0,1,25.0,3,1.0,1.0,50.0
18,L,大沢 健太郎,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
21,,高澤 和貴,3,■,■,■,,,19,6,1,31.6,2.00,0,0,0,-,0,-,10,0,1,3,5.0,12,4.0,6.0,58.3
23,,キセレフ アルテム,3,□,□,■,,,10,6,0,60.0,2.00,4,2,0,50.0,1,0.33,10,0,2,4,5.0,0,0.0,0.0,-
24,,長田 翼,3,□,□,■,,,0,0,0,-,-,0,0,0,-,0,-,5,0,1,2,5.0,0,0.0,0.0,-
26,,池田 浩基,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,98,45,5,45.9,15.00,16,4,1,25.0,2,0.67,66,0,11,17,2.3,63,26.0,22.0,58.7
