背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,山近 哲,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,内山 正平,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
5,,前田 一誠,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,2,0.50,14,1,0,5,16.1,0,0.0,0.0,-
6,,近 裕崇,4,■,■,■,■,,12,6,0,50.0,1.50,0,0,0,-,2,0.50,18,1,0,8,16.7,0,0.0,0.0,-
7,,白岩 直也,2,,,□,■,,8,6,0,75.0,3.00,0,0,0,-,0,-,7,0,1,0,-3.6,6,6.0,0.0,100.0
10,L,古賀 幸一郎,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,7.0,3.0,65.4
11,,傳田 亮太,4,■,■,■,■,,5,3,0,60.0,0.75,0,0,0,-,5,1.25,13,0,1,3,3.8,1,1.0,0.0,100.0
12,,高松 卓矢,3,■,■,■,,,11,2,0,18.2,0.67,0,0,0,-,0,-,5,0,1,2,5.0,3,1.0,1.0,50.0
13,,岡本 秀明,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
14,,椿山 竜介,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,2,0,-16.7,0,0.0,0.0,-
15,,オムルチェン イゴール,4,■,■,■,■,,48,20,3,41.7,5.00,21,8,3,38.1,1,0.25,12,0,4,2,-4.2,0,0.0,0.0,-
16,,黒澤 雄介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
23,,勝岡 将斗,4,■,■,■,■,,28,14,0,50.0,3.50,0,0,0,-,0,-,13,0,1,0,-1.9,47,28.0,9.0,69.1
24,,小川 智大,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,4,0.0,2.0,25.0
チーム合計,チーム合計,チーム合計,4,,,,,,112,51,3,45.5,12.75,21,8,3,38.1,10,2.50,88,2,10,20,5.1,74,43.0,15.0,68.2
