背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,山田 脩造,3,■,■,■,,,9,6,0,66.7,2.00,0,0,0,-,0,-,11,0,2,1,-2.3,22,7.0,8.0,50.0
2,,山近 哲,2,■,■,,,,6,2,0,33.3,1.00,0,0,0,-,1,0.50,4,0,1,1,0.0,0,0.0,0.0,-
3,,クレク バルトシュ,3,■,■,■,,,35,18,3,51.4,6.00,15,8,2,53.3,0,-,11,0,3,2,-2.3,1,1.0,0.0,100.0
5,,前田 一誠,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,10,1,0,1,12.5,0,0.0,0.0,-
6,,近 裕崇,3,■,■,■,,,9,5,0,55.6,1.67,0,0,0,-,1,0.33,11,0,1,1,0.0,0,0.0,0.0,-
7,,白岩 直也,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,5,0.0,4.0,40.0
8,,神谷 雄飛,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,ユン ボンウ,1,,,■,,,2,0,2,0.0,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-
14,,椿山 竜介,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,0,2,0,-16.7,0,0.0,0.0,-
20,L,川口 太一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
21,,永露 元稀,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,1,1,2,25.0,0,0.0,0.0,-
22,,高梨 健太,3,■,■,■,,,31,16,3,51.6,5.33,4,2,2,50.0,0,-,10,0,3,3,0.0,21,13.0,5.0,73.8
24,L,小川 智大,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,9.0,6.0,80.0
26,,山崎 彰都,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,92,47,8,51.1,15.67,19,10,4,52.6,2,0.67,67,2,14,11,1.9,64,30.0,23.0,64.8
