背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,安永 拓弥,4,■,■,■,■,,7,2,1,28.6,0.50,0,0,0,-,0,-,7,0,2,0,-7.1,2,0.0,1.0,25.0
2,,小野寺 太志,4,■,■,■,■,,15,8,0,53.3,2.00,0,0,0,-,1,0.25,13,0,1,1,0.0,2,2.0,0.0,100.0
6,,エドガー トーマス,4,■,■,■,■,,45,27,0,60.0,6.75,18,9,0,50.0,0,-,14,0,3,5,3.6,0,0.0,0.0,-
7,,八子 大輔,1,□,,,,,5,2,1,40.0,2.00,0,0,0,-,0,-,2,0,1,0,-12.5,10,1.0,8.0,50.0
11,,久原 大輝,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0.0,0.0,-
12,,合田 心平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,熊倉 允,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,L,唐川 大志,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,6.0,6.0,56.2
16,,西 知恕,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,金子 聖輝,4,■,■,■,■,,4,2,1,50.0,0.50,0,0,0,-,0,-,11,0,0,3,6.8,2,0.0,0.0,0.0
18,,山本 将平,4,■,■,■,■,,21,11,0,52.4,2.75,1,1,0,100.0,1,0.25,19,3,5,3,13.2,31,15.0,9.0,62.9
19,,陳 建禎,1,■,,,,,1,0,1,0.0,-,0,0,0,-,0,-,0,0,0,0,-,4,2.0,1.0,62.5
20,,坂下 純也,3,,■,■,■,,15,6,0,40.0,2.00,0,0,0,-,0,-,10,0,1,0,-2.5,21,6.0,8.0,47.6
22,,西村 信,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,113,58,4,51.3,14.50,19,10,0,52.6,2,0.50,80,3,14,12,3.1,88,32.0,33.0,55.1
