AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
109,49,10,45.0,12.25,28,14,3,50.0,10,2.50,83,1,14,19,2.7,78,30.0,14.0,47.4,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home,98,51,5,52.0,12.75,27,15,1,55.6,12,3.00,92,5,12,32,10.9,68,33.0,16.0,60.3
98,51,5,52.0,12.75,27,15,1,55.6,12,3.00,92,5,12,32,10.9,68,33.0,16.0,60.3,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away,109,49,10,45.0,12.25,28,14,3,50.0,10,2.50,83,1,14,19,2.7,78,30.0,14.0,47.4
77,34,5,44.2,11.33,16,7,2,43.8,4,1.33,62,1,14,9,-0.4,60,16.0,15.0,39.2,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home,75,41,3,54.7,13.67,14,12,1,85.7,9,3.00,73,2,13,27,7.5,47,27.0,12.0,70.2
75,41,3,54.7,13.67,14,12,1,85.7,9,3.00,73,2,13,27,7.5,47,27.0,12.0,70.2,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away,77,34,5,44.2,11.33,16,7,2,43.8,4,1.33,62,1,14,9,-0.4,60,16.0,15.0,39.2
124,49,9,39.5,12.25,30,16,2,53.3,2,0.50,82,4,19,15,3.7,82,35.0,28.0,59.8,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home,98,43,11,43.9,10.75,18,9,2,50.0,20,5.00,94,1,11,19,3.2,63,26.0,18.0,55.6
98,43,11,43.9,10.75,18,9,2,50.0,20,5.00,94,1,11,19,3.2,63,26.0,18.0,55.6,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,JTサンダーズ広島,ジェイテクトSTINGS,原秀治,古田博幸,3,1,4,Win,95,81,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Away,124,49,9,39.5,12.25,30,16,2,53.3,2,0.50,82,4,19,15,3.7,82,35.0,28.0,59.8
120,63,11,52.5,12.60,30,15,2,50.0,10,2.00,105,7,15,30,10.2,86,39.0,27.0,61.0,104,2021-10-16,2021,10,16,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,3,2,5,Win,106,108,129,18:00,20:28,1150,小柴滋,戸川太輔,原啓之,田中栄二,Home,120,63,8,52.5,12.60,24,17,2,70.8,8,1.60,109,9,17,17,8.3,86,30.0,24.0,48.8
120,63,8,52.5,12.60,24,17,2,70.8,8,1.60,109,9,17,17,8.3,86,30.0,24.0,48.8,104,2021-10-16,2021,10,16,愛知県,ウィングアリーナ刈谷,JTサンダーズ広島,ジェイテクトSTINGS,原秀治,古田博幸,2,3,5,Lose,108,106,129,18:00,20:28,1150,小柴滋,戸川太輔,原啓之,田中栄二,Away,120,63,11,52.5,12.60,30,15,2,50.0,10,2.00,105,7,15,30,10.2,86,39.0,27.0,61.0
87,40,8,46.0,10.00,20,9,4,45.0,16,4.00,91,3,14,29,7.4,69,36.0,9.0,58.7,105,2021-10-16,2021,10,16,大阪府,日本製鉄堺体育館,堺ブレイザーズ,大分三好ヴァイセアドラー,千葉進也,長江祥司,1,3,4,Lose,90,99,113,13:00,15:06,356,田野昭彦,澤達大,浜野陽一,和佐田信行,Home,109,60,7,55.0,15.00,24,16,2,66.7,5,1.25,98,9,24,20,8.2,76,26.0,20.0,47.4
109,60,7,55.0,15.00,24,16,2,66.7,5,1.25,98,9,24,20,8.2,76,26.0,20.0,47.4,105,2021-10-16,2021,10,16,大阪府,日本製鉄堺体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,ﾑﾚｲﾎﾟｰﾙ,安田将利,3,1,4,Win,99,90,113,13:00,15:06,356,田野昭彦,澤達大,浜野陽一,和佐田信行,Away,87,40,8,46.0,10.00,20,9,4,45.0,16,4.00,91,3,14,29,7.4,69,36.0,9.0,58.7
