背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,吉原 知子,3,■,■,■,,,26,12,3,46.2,4.00,0,0,0,-,1,0.33,11,1,0,3,15.9,21,11.0,0.0,52.4
2,,江藤 直美,3,■,■,■,,,19,7,2,36.8,2.33,0,0,0,-,3,1.00,9,0,0,3,8.3,4,1.0,0.0,25.0
3,,森山 淳子,2,□,□,,,,3,3,0,100.0,1.50,0,0,0,-,0,-,2,0,0,2,25.0,4,1.0,0.0,25.0
5,,島崎 みゆき,3,■,■,■,,,3,1,0,33.3,0.33,0,0,0,-,1,0.33,22,1,0,6,11.4,0,0.0,0.0,-
8,,佐藤 和美,3,■,■,■,,,28,9,3,32.1,3.00,0,0,0,-,0,-,11,1,1,4,18.2,0,0.0,0.0,-
10,,萩原 美代子,1,,□,,,,3,2,0,66.7,2.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,西村 佳名子,3,■,■,■,,,17,7,0,41.2,2.33,0,0,0,-,3,1.00,13,0,1,4,7.7,21,17.0,0.0,81.0
12,L,松永 亜希子,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,11.0,0.0,78.6
15,,森富 明日香,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,小川 絵梨佳,3,■,■,■,,,32,10,2,31.2,3.33,0,0,0,-,0,-,9,0,0,4,11.1,1,0.0,0.0,0.0
20,,宇都宮 末希子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
21,,中村 夕紀美,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,4,4.0,0.0,100.0
チーム合計,チーム合計,チーム合計,3,,,,,,131,51,10,38.9,17.00,0,0,0,-,8,2.67,80,3,2,26,11.9,69,45.0,0.0,65.2
