背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
0,,孫 洪順,1,■,,,,,1,1,0,100.0,1.00,0,0,0,-,1,1.00,2,0,0,1,12.5,0,0.0,0.0,-
1,,吉田 千絵,4,■,■,■,■,,39,17,2,43.6,4.25,0,0,0,-,1,0.25,12,0,3,1,2.1,28,21.0,0.0,75.0
2,,橋口 かおり,4,■,■,■,■,,35,13,1,37.1,3.25,7,3,1,42.9,1,0.25,11,0,0,2,4.5,2,2.0,0.0,100.0
4,L,中村 夕紀美,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,27,16.0,0.0,59.3
5,,狩野 美雪,4,■,■,■,■,,35,10,4,28.6,2.50,0,0,0,-,0,-,17,1,1,8,16.5,11,8.0,0.0,72.7
6,,角田 真由美,4,□,■,■,■,,19,10,0,52.6,2.50,0,0,0,-,1,0.25,8,1,1,1,13.1,0,0.0,0.0,-
7,,田中 弓貴,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,0.0,0.0
8,,船崎 恵視,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
9,,田口 恵,4,■,■,■,■,,18,7,1,38.9,1.75,0,0,0,-,3,0.75,14,0,1,3,5.4,1,1.0,0.0,100.0
10,,辻 知恵,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,1,0.25,13,0,1,8,15.4,0,0.0,0.0,-
14,,井西 彩乃,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,2,1.0,0.0,50.0
15,,西村 佳名子,2,,□,,□,,4,1,0,25.0,0.50,0,0,0,-,0,-,3,0,0,2,16.7,13,9.0,0.0,69.2
チーム合計,チーム合計,チーム合計,4,,,,,,152,59,8,38.8,14.75,7,3,1,42.9,8,2.00,84,2,8,27,9.9,85,58.0,0.0,68.2
