背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,山口 舞,3,■,■,■,,,11,7,0,63.6,2.33,0,0,0,-,1,0.33,17,0,2,3,4.4,10,5.0,0.0,50.0
3,,米村 信子,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,1,0.0,0.0,0.0
4,,野村 まり,3,■,■,■,,,16,7,0,43.8,2.33,0,0,0,-,1,0.33,12,0,0,3,6.2,1,1.0,0.0,100.0
7,,神田 千絵,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,高松 未,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,岡野 弘子,3,■,■,■,,,3,2,0,66.7,0.67,0,0,0,-,1,0.33,10,0,0,4,10.0,0,0.0,0.0,-
16,,河野 志保,2,,□,□,,,3,2,0,66.7,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,L,金森 純子,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,19.0,0.0,86.4
21,,森 和代,3,■,■,■,,,33,13,3,39.4,4.33,2,0,1,0.0,2,0.67,6,0,1,0,0.0,12,10.0,0.0,83.3
25,,川井 梅香,3,■,■,■,,,28,7,0,25.0,2.33,0,0,0,-,4,1.33,10,0,1,2,5.0,9,6.0,0.0,66.7
33,,若浦 貴子,3,■,■,■,,,30,13,1,43.3,4.33,0,0,0,-,4,1.33,13,0,0,4,7.7,3,2.0,0.0,66.7
41,,小菅 真弓,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,124,51,4,41.1,17.00,2,0,1,0.0,13,4.33,74,0,4,18,6.1,58,43.0,0.0,74.1
