背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,吉澤 智恵,4,■,■,■,■,,36,13,2,36.1,3.25,1,1,0,100.0,2,0.50,18,0,0,2,2.8,20,13.0,0.0,65.0
2,,金子 美里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,澤畠 文子,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,鶴田 桂子,4,■,■,■,■,,3,1,0,33.3,0.25,0,0,0,-,0,-,20,0,1,4,5.0,1,0.0,0.0,0.0
5,,足立 留美,4,■,■,■,■,,31,11,1,35.5,2.75,2,0,0,0.0,0,-,10,1,1,3,17.5,8,3.0,0.0,37.5
6,,池浦 文香,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0.0,0.0,-
7,,内藤 香菜子,4,■,■,■,■,,20,10,1,50.0,2.50,0,0,0,-,1,0.25,4,0,0,1,6.2,0,0.0,0.0,-
8,,石川 友紀,4,■,■,■,■,,28,12,3,42.9,3.00,0,0,0,-,2,0.50,13,0,0,2,3.8,0,0.0,0.0,-
10,L,今村 直美,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,11.0,0.0,68.8
11,,平井 真栄,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,服部 安佑香,4,■,■,■,■,,35,9,0,25.7,2.25,0,0,0,-,0,-,9,0,2,2,5.6,35,19.0,0.0,54.3
13,L,田向 友美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,三澤 由佳,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,1,2,10.0,0,0.0,0.0,-
22,,石田 瑞穂,4,□,□,□,□,,19,5,1,26.3,1.25,2,1,0,50.0,0,-,4,0,1,1,6.2,5,2.0,0.0,40.0
チーム合計,チーム合計,チーム合計,4,,,,,,172,61,8,35.5,15.25,5,2,0,40.0,5,1.25,85,1,7,17,6.2,85,48.0,0.0,56.5
