背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,都築 有美子,5,■,■,■,■,■,56,19,3,33.9,3.80,0,0,0,-,0,-,21,1,3,12,19.0,31,26.0,0.0,83.9
2,,今西 郁瑠,5,■,■,■,■,□,19,6,0,31.6,1.20,0,0,0,-,0,-,14,1,4,3,11.1,35,18.0,0.0,51.4
3,,山本 陽子,5,■,■,■,■,■,9,4,1,44.4,0.80,0,0,0,-,3,0.60,21,2,0,4,12.4,0,0.0,0.0,-
4,,船崎 恵視,5,■,■,■,■,■,3,1,0,33.3,0.20,0,0,0,-,0,-,12,0,0,2,4.2,1,0.0,0.0,0.0
5,,羽根 翠,5,■,■,■,■,■,31,13,0,41.9,2.60,0,0,0,-,5,1.00,16,1,1,4,11.2,3,2.0,0.0,66.7
6,,佐藤 絵美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,前田 見奈子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,L,梅尾 千草,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,L,八田 奈都己,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,11.0,0.0,64.7
14,,藤原 亜紀,1,□,,,,,6,1,1,16.7,1.00,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-
15,,堀崎 智恵美,5,□,□,□,□,■,8,4,0,50.0,0.80,0,0,0,-,1,0.20,2,0,0,0,0.0,13,9.0,0.0,69.2
16,,服部 鮎弥,4,□,□,,□,□,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,5,2.0,0.0,40.0
17,,コロンボ レナタ,5,■,■,■,■,■,70,26,2,37.1,5.20,8,3,1,37.5,0,-,19,1,0,9,16.1,1,0.0,0.0,0.0
19,,及川 英香,4,,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,202,74,7,36.6,14.80,8,3,1,37.5,9,1.80,107,6,9,35,12.9,106,68.0,0.0,64.2
