背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
0,,佐々木 みき,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,杉本 早希,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
3,,板橋 恵,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-
4,,スタエレンス シャイーヌ,4,■,■,■,■,,35,10,3,28.6,2.50,2,0,0,0.0,4,1.00,11,0,1,3,6.8,10,5.0,0.0,50.0
5,,多治見 麻子,4,■,■,■,■,,21,9,0,42.9,2.25,0,0,0,-,2,0.50,13,0,1,2,3.8,0,0.0,0.0,-
7,,成田 郁久美,4,■,■,■,■,,18,6,0,33.3,1.50,0,0,0,-,0,-,6,2,2,0,30.0,16,10.0,0.0,62.5
8,,今野 加奈子,4,■,■,■,■,,47,16,3,34.0,4.00,14,0,2,0.0,0,-,17,2,1,6,19.4,0,0.0,0.0,-
19,,芦野 李沙,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,6.0,0.0,66.7
20,L,吉田 真未,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,38,24.0,0.0,63.2
21,,沼田 さくら,3,,□,■,■,,10,2,2,20.0,0.67,0,0,0,-,0,-,9,0,0,1,2.8,0,0.0,0.0,-
23,,香野 晶子,2,■,■,,,,10,1,2,10.0,0.50,0,0,0,-,0,-,3,0,1,1,8.3,0,0.0,0.0,-
24,,岩崎 こよみ,4,■,■,■,■,,3,1,1,33.3,0.25,0,0,0,-,1,0.25,15,0,0,3,5.0,1,0.0,0.0,0.0
26,,田村 翔子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
28,L,古屋 美紀,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,144,45,11,31.2,11.25,16,0,2,0.0,7,1.75,78,4,6,17,10.1,74,45.0,0.0,60.8
