背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,坂下 麻衣子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,谷口 雅美,3,□,□,□,,,3,0,0,0.0,-,0,0,0,-,1,0.33,0,0,0,0,-,0,0.0,0.0,-
4,,吉澤 智恵,3,■,■,■,,,29,9,3,31.0,3.00,0,0,0,-,0,-,12,0,0,5,10.4,21,14.0,0.0,66.7
5,,位田 愛,3,■,■,■,,,30,4,0,13.3,1.33,1,0,0,0.0,2,0.67,10,0,1,5,12.5,24,14.0,0.0,58.3
6,,ブラコチェヴィッチ ヨヴァナ,3,■,■,■,,,49,21,4,42.9,7.00,18,7,1,38.9,1,0.33,11,0,0,3,6.8,0,0.0,0.0,-
7,,竹下 佳江,3,■,■,■,,,2,0,0,0.0,-,0,0,0,-,0,-,20,1,0,10,16.5,0,0.0,0.0,-
9,,石川 友紀,3,■,■,■,,,20,6,4,30.0,2.00,1,0,1,0.0,2,0.67,11,1,0,4,18.2,0,0.0,0.0,-
10,,橋本 直子,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-
11,,上屋敷 綾,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,L,臼井 千景,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,11.0,0.0,68.8
17,,加藤 千尋,3,■,■,■,,,15,8,1,53.3,2.67,0,0,0,-,1,0.33,8,0,2,2,6.2,0,0.0,0.0,-
19,L,千葉 智枝美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
20,,芥川 愛加,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,148,48,12,32.4,16.00,20,7,2,35.0,7,2.33,73,2,3,30,12.7,61,39.0,0.0,63.9
