背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,長岡 望悠,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,古藤 千鶴,3,■,■,■,,,2,1,0,50.0,0.33,0,0,0,-,2,0.67,18,2,3,4,14.4,1,1.0,0.0,100.0
3,,新鍋 理沙,3,■,■,■,,,17,6,3,35.3,2.00,2,0,0,0.0,0,-,7,1,2,1,15.0,17,11.0,0.0,64.7
4,,岩坂 名奈,1,■,,,,,4,2,0,50.0,2.00,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
5,,水田 祐未,2,,■,■,,,14,5,0,35.7,2.50,0,0,0,-,0,-,8,1,0,4,22.5,0,0.0,0.0,-
6,,石井 優希,1,,,□,,,4,2,0,50.0,2.00,1,0,0,0.0,0,-,1,0,0,0,0.0,5,4.0,0.0,80.0
7,,筒井 視穂子,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,1.0,0.0,50.0
8,,野本 梨佳,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,平井 香菜子,3,■,■,■,,,13,10,0,76.9,3.33,0,0,0,-,0,-,18,1,0,6,13.9,1,1.0,0.0,100.0
10,L,座安 琴希,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,11.0,0.0,78.6
11,,フォフィーニャ アナパウラ,3,■,■,■,,,32,11,1,34.4,3.67,4,0,0,0.0,1,0.33,8,0,0,6,18.8,9,5.0,0.0,55.6
12,,南 美寿希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,L,村田 しおり,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
22,,石田 瑞穂,3,■,■,■,,,28,15,1,53.6,5.00,9,6,0,66.7,1,0.33,12,2,0,3,19.6,4,1.0,0.0,25.0
チーム合計,チーム合計,チーム合計,3,,,,,,114,52,5,45.6,17.33,16,6,0,37.5,4,1.33,74,7,5,25,16.3,53,35.0,0.0,66.0
