背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,L,八幡 美樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,都築 有美子,3,■,■,■,,,24,9,3,37.5,3.00,0,0,0,-,5,1.67,12,0,0,2,4.2,20,13.0,0.0,65.0
4,,内田 暁子,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
5,,松浦 麻琴,3,■,■,■,,,0,0,0,-,-,0,0,0,-,2,0.67,11,0,1,4,9.1,0,0.0,0.0,-
6,,近江 あかり,3,■,■,■,,,19,7,1,36.8,2.33,0,0,0,-,0,-,20,1,0,6,12.5,18,15.0,0.0,83.3
8,,島村 春世,3,■,■,■,,,30,17,1,56.7,5.67,0,0,0,-,2,0.67,9,1,1,3,17.2,0,0.0,0.0,-
9,,白垣 里紗,3,■,■,■,,,17,5,1,29.4,1.67,1,1,0,100.0,1,0.33,7,0,0,2,7.1,0,0.0,0.0,-
11,,渡辺 美穂,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,金子 早織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,大野 果奈,3,■,■,■,,,16,6,0,37.5,2.00,0,0,0,-,1,0.33,12,1,0,2,10.8,0,0.0,0.0,-
14,L,鳥越 未玖,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,10.0,0.0,58.8
17,,小山 綾菜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,ハナ クトゥラ,2,□,,□,,,2,2,0,100.0,1.00,0,0,0,-,1,0.50,0,0,0,0,-,0,0.0,0.0,-
19,,家高 七央子,1,,□,,,,2,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,110,46,6,41.8,15.33,1,1,0,100.0,12,4.00,73,3,2,19,10.1,55,38.0,0.0,69.1
