背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,カーリー ウォーパット,3,■,■,■,,,16,10,0,62.5,3.33,0,0,0,-,3,1.00,9,1,3,1,13.9,0,0.0,0.0,-
2,,木村 沙織,3,■,■,■,,,27,8,1,29.6,2.67,0,0,0,-,1,0.33,6,0,1,2,8.3,13,9.0,0.0,69.2
3,,迫田 さおり,3,■,■,■,,,37,14,2,37.8,4.67,6,2,1,33.3,0,-,13,1,1,4,13.8,0,0.0,0.0,-
4,,峯村 沙紀,3,■,■,■,,,20,2,2,10.0,0.67,0,0,0,-,0,-,8,0,2,2,6.2,25,14.0,0.0,56.0
5,,田代 佳奈美,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,1,0.33,10,0,1,6,15.0,0,0.0,0.0,-
6,L,木村 美里,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,24,14.0,0.0,58.3
7,,堀川 真理,2,□,□,,,,4,0,1,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,大野 果歩,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
9,,野村 明日香,1,,,□,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,2,0.0,0.0,0.0
10,,伊藤 望,3,■,■,■,,,12,5,0,41.7,1.67,0,0,0,-,1,0.33,10,0,1,6,15.0,1,1.0,0.0,100.0
11,,杉原 若葉,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,白井 美沙紀,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
15,L,中川 有美,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,中島 未来,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,3,2.0,0.0,66.7
チーム合計,チーム合計,チーム合計,3,,,,,,118,40,6,33.9,13.33,6,2,1,33.3,6,2.00,61,2,9,23,12.4,68,40.0,0.0,58.8
