背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,上坂 瑠子,2,■,■,,,,33,14,1,42.4,7.00,3,0,0,0.0,0,-,9,0,0,3,8.3,15,4.0,5.0,43.3
2,,小野寺 友香,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
4,,窪田 美侑,3,■,■,■,,,23,9,0,39.1,3.00,0,0,0,-,0,-,12,0,0,7,14.6,31,9.0,13.0,50.0
5,,タップ ハンナ,3,■,■,■,,,20,8,2,40.0,2.67,0,0,0,-,3,1.00,7,0,1,3,7.1,0,0.0,0.0,-
6,,芳賀 舞波,3,■,■,■,,,13,7,1,53.8,2.33,0,0,0,-,0,-,15,1,2,5,11.7,0,0.0,0.0,-
7,,齋藤 加奈子,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,4,2.0,1.0,62.5
8,,佐藤 美弥,3,■,■,■,,,2,0,0,0.0,-,0,0,0,-,0,-,11,0,2,6,9.1,0,0.0,0.0,-
9,,渡邊 久惠,1,,,■,,,13,3,0,23.1,3.00,2,0,0,0.0,0,-,2,0,0,2,25.0,0,0.0,0.0,-
10,L,小池 杏菜,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,1.0,1.0,16.7
13,,長内 美和子,3,■,■,■,,,39,17,2,43.6,5.67,2,1,0,50.0,0,-,11,0,1,4,6.8,17,8.0,5.0,61.8
14,,入澤 まい,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,土井 さくら,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
16,,巻口 明日香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,オクム大庭 冬美ハウィ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,143,58,6,40.6,19.33,7,1,0,14.3,3,1.00,70,1,6,31,10.4,76,24.0,25.0,48.0
