背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,貞包 里穂,4,■,■,■,■,,31,9,1,29.0,2.25,4,2,0,50.0,2,0.50,15,0,0,2,3.3,18,7.0,2.0,44.4
2,,櫻井 美樹,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,0,-,7,0,0,2,7.1,0,0.0,0.0,-
4,L,花井 萌里,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,11.0,1.0,67.6
5,,長野 有紗,4,■,■,■,■,,21,7,0,33.3,1.75,0,0,0,-,1,0.25,15,0,2,5,5.0,2,2.0,0.0,100.0
6,,金杉 由香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,堀込 奈央,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
8,,宮地 佳乃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,吉岡 可奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,脇田 美怜,1,,,,□,,5,1,0,20.0,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-
11,,荒谷 栞,4,■,■,■,■,,23,10,0,43.5,2.50,0,0,0,-,1,0.25,12,1,3,3,8.3,0,0.0,0.0,-
12,,孫田 菜奈,3,□,□,□,,,12,5,0,41.7,1.67,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
13,,田中 咲希,4,■,■,■,■,,39,14,4,35.9,3.50,1,0,0,0.0,1,0.25,15,1,1,4,11.7,23,11.0,2.0,52.2
14,,佐々木 千紘,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,松本 愛希穂,4,■,■,■,■,,42,16,3,38.1,4.00,3,2,0,66.7,0,-,14,0,1,4,5.4,25,18.0,3.0,78.0
チーム合計,チーム合計,チーム合計,4,,,,,,174,63,8,36.2,15.75,8,4,0,50.0,5,1.25,83,2,8,20,6.0,85,49.0,8.0,62.4
