背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,長岡 望悠,3,□,□,■,,,17,5,3,29.4,1.67,5,2,1,40.0,0,-,3,0,0,0,0.0,0,0.0,0.0,-
2,,井上 美咲,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,7,0,0,2,7.1,0,0.0,0.0,-
4,,岩坂 名奈,3,■,■,■,,,6,2,0,33.3,0.67,0,0,0,-,0,-,8,1,0,1,15.6,0,0.0,0.0,-
5,,井上 愛里沙,3,■,■,■,,,24,10,0,41.7,3.33,2,0,0,0.0,1,0.33,9,0,1,3,5.6,13,2.0,5.0,34.6
6,,石井 優希,3,■,■,■,,,38,8,3,21.1,2.67,5,2,0,40.0,0,-,8,0,1,3,6.2,27,5.0,14.0,44.4
7,,加藤 光,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
8,,野本 梨佳,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,座安 琴希,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,3,2.0,1.0,83.3
11,,栄 絵里香,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
14,,中川 美柚,2,■,■,,,,7,1,0,14.3,0.50,0,0,0,-,0,-,2,0,0,0,0.0,14,1.0,5.0,25.0
15,L,池谷 優佳,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,アキンラデウォ フォルケ,3,■,■,■,,,16,6,0,37.5,2.00,0,0,0,-,2,0.67,6,0,1,1,0.0,0,0.0,0.0,-
17,,濱松 明日香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,L,戸江 真奈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,6.0,3.0,75.0
チーム合計,チーム合計,チーム合計,3,,,,,,108,32,6,29.6,10.67,12,4,1,33.3,3,1.00,46,1,3,10,6.0,67,16.0,28.0,44.8
