背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,金子 健太郎,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,竹内 徳彦,3,■,■,■,,,9,6,0,66.7,2.00,0,0,0,-,2,0.67,6,0,1,1,4.2,0,0.0,0.0,-
5,,今 一騎,3,■,■,■,,,23,13,3,56.5,4.33,8,5,2,62.5,1,0.33,8,1,1,2,16.2,0,0.0,0.0,-
7,,勝田 祥平,3,■,■,■,,,19,9,3,47.4,3.00,2,1,1,50.0,1,0.33,9,0,0,4,11.1,17,10.0,0.0,58.8
8,,属 昌弘,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,1,12.5,0,0.0,0.0,-
9,,平澤 徹,3,■,■,■,,,14,7,0,50.0,2.33,0,0,0,-,4,1.33,13,0,3,4,7.7,0,0.0,0.0,-
10,,増元 真二,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0.0,0.0,-
11,,豊田 直之,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,松本 健作,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,L,中村 有壮,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,26,17.0,0.0,65.4
14,,岩井 浩二,3,■,■,■,,,12,7,1,58.3,2.33,1,0,0,0.0,1,0.33,17,2,2,3,13.8,9,7.0,0.0,77.8
15,,野澤 真,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,16,1,2,2,9.4,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,77,42,7,54.5,14.00,11,6,3,54.5,9,3.00,73,4,10,19,11.2,52,34.0,0.0,65.4
