背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,川越 裕康,3,■,■,■,,,11,6,1,54.5,2.00,0,0,0,-,0,-,9,0,3,3,8.3,0,0.0,0.0,-
3,,西畑 達也,3,■,■,■,,,13,7,3,53.8,2.33,0,0,0,-,1,0.33,14,0,2,2,3.6,9,6.0,0.0,66.7
5,L,折井 拓也,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,15.0,0.0,93.8
7,,石本 裕樹,3,■,■,■,,,8,3,0,37.5,1.00,0,0,0,-,0,-,6,1,0,0,13.3,0,0.0,0.0,-
8,,石黒 大悟,3,■,■,■,,,15,8,0,53.3,2.67,1,1,0,100.0,0,-,6,0,0,1,4.2,25,18.0,0.0,72.0
10,,中田 亮二,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-
11,,毛利 光生,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,10,0,1,4,10.0,1,0.0,0.0,0.0
12,,田内 卓,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,東 健司,3,■,■,■,,,24,8,2,33.3,2.67,7,3,2,42.9,1,0.33,9,0,2,3,8.3,0,0.0,0.0,-
15,,筆脇 ウィリアン,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,本多 尚也,1,,,□,,,3,2,0,66.7,2.00,0,0,0,-,0,-,2,0,0,0,0.0,13,9.0,0.0,69.2
チーム合計,チーム合計,チーム合計,3,,,,,,74,34,6,45.9,11.33,8,4,2,50.0,2,0.67,60,1,8,15,7.6,64,48.0,0.0,75.0
