背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,松田 智人,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,金丸 晃大,3,■,■,■,,,9,6,0,66.7,2.00,0,0,0,-,6,2.00,13,0,1,5,9.6,0,0.0,0.0,-
3,,小野 孝宏,1,□,,,,,1,1,0,100.0,1.00,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-
4,,野沢 憲治,1,■,,,,,1,1,0,100.0,1.00,0,0,0,-,0,-,5,0,0,1,5.0,0,0.0,0.0,-
5,,豊田 昇平,2,,■,■,,,0,0,0,-,-,0,0,0,-,0,-,13,0,0,2,3.8,0,0.0,0.0,-
7,,小松 高則,3,■,■,■,,,7,5,0,71.4,1.67,0,0,0,-,2,0.67,5,0,0,0,0.0,0,0.0,0.0,-
9,,石田 敬喜,3,■,■,■,,,31,17,4,54.8,5.67,1,0,0,0.0,1,0.33,11,0,2,2,4.5,14,11.0,0.0,78.6
10,,松原 広輔,1,■,,,,,7,4,0,57.1,4.00,1,0,0,0.0,0,-,4,0,2,1,6.2,8,5.0,0.0,62.5
11,,其原 健太,2,,■,■,,,5,3,1,60.0,1.50,0,0,0,-,1,0.50,9,1,2,2,14.4,10,7.0,0.0,70.0
12,L,興梠 亮,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,18,16.0,0.0,88.9
14,L,後藤 大輔,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,鬼頭 浩幸,2,,□,□,,,2,1,0,50.0,0.50,0,0,0,-,1,0.50,2,0,0,0,0.0,0,0.0,0.0,-
19,,黒木 陸,2,,■,■,,,19,8,3,42.1,4.00,5,3,1,60.0,0,-,6,0,1,3,12.5,2,0.0,0.0,0.0
チーム合計,チーム合計,チーム合計,3,,,,,,82,46,8,56.1,15.33,7,3,1,42.9,11,3.67,69,1,9,16,7.0,52,39.0,0.0,75.0
