背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,伊藤 優介,4,■,■,■,■,,17,6,0,35.3,1.50,0,0,0,-,1,0.25,14,0,3,1,1.8,0,0.0,0.0,-
3,,馬場 裕峰,4,■,■,■,■,,26,11,3,42.3,2.75,5,1,2,20.0,1,0.25,12,1,4,2,10.8,21,12.0,0.0,57.1
4,L,中沢 敏浩,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,34,16.0,0.0,47.1
5,,浅見 冬樹,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,0,-,10,0,0,3,7.5,1,0.0,0.0,0.0
6,,大貫 智博,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,西片 圭佑,4,■,■,■,■,,15,3,3,20.0,0.75,5,1,1,20.0,1,0.25,11,1,4,2,11.8,5,2.0,0.0,40.0
9,,田中 淳一,4,■,■,■,■,,22,11,1,50.0,2.75,0,0,0,-,1,0.25,12,0,1,3,6.2,16,7.0,0.0,43.8
10,,池田 正一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,松枝 寿明,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,橋本 和浩,4,■,■,■,■,,17,7,3,41.2,1.75,0,0,0,-,0,-,11,0,0,3,6.8,0,0.0,0.0,-
13,,井上 佑馬,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,98,39,10,39.8,9.75,10,2,3,20.0,4,1.00,70,2,12,14,7.3,77,37.0,0.0,48.1
