背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,濱口 純一,4,■,■,■,■,,15,5,2,33.3,1.25,0,0,0,-,1,0.25,14,0,0,4,7.1,50,36.0,0.0,72.0
2,L,吉野 淳,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,25,14.0,0.0,56.0
5,,根岸 慎紘,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-
7,,渡邊 友嗣,2,■,■,,,,21,5,2,23.8,2.50,5,3,0,60.0,0,-,2,0,0,0,0.0,2,2.0,0.0,100.0
10,,モラッド ドリウィシ,4,■,■,■,■,,27,9,1,33.3,2.25,3,1,0,33.3,1,0.25,15,2,2,4,17.3,0,0.0,0.0,-
11,,奥田 晃,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,1,0.25,11,0,0,2,4.5,0,0.0,0.0,-
14,,飯塚 俊彦,4,■,■,■,■,,36,9,1,25.0,2.25,11,2,0,18.2,1,0.25,15,0,2,5,8.3,4,2.0,0.0,50.0
17,L,宮下 領,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,間瀬 公平,2,,,■,■,,12,5,1,41.7,2.50,0,0,0,-,1,0.50,7,0,0,3,10.7,1,0.0,0.0,0.0
21,,溝口 信二,4,■,■,■,■,,12,3,0,25.0,0.75,0,0,0,-,4,1.00,9,0,0,3,8.3,2,0.0,0.0,0.0
22,,大下 将,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
25,,柿島 新太郎,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
26,,矢作 拓也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
28,,竹田 昭徳,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,123,36,7,29.3,9.00,19,6,0,31.6,9,2.25,77,2,4,22,9.2,84,54.0,0.0,64.3
