背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,菊池 孝一,3,■,■,■,,,4,2,1,50.0,0.67,0,0,0,-,1,0.33,11,0,4,4,9.1,1,0.0,0.0,0.0
7,,岩田 岳大,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-
13,,赤木 貴雅,3,■,■,■,,,7,2,2,28.6,0.67,0,0,0,-,1,0.33,10,0,1,2,5.0,35,26.0,0.0,74.3
17,,高橋 寛記,3,■,■,■,,,3,2,1,66.7,0.67,1,0,1,0.0,0,-,10,0,1,4,10.0,0,0.0,0.0,-
18,,加藤 陽一,3,■,■,■,,,25,13,2,52.0,4.33,10,6,2,60.0,1,0.33,21,4,1,7,26.4,1,0.0,0.0,0.0
20,,椿山 竜介,3,■,■,■,,,13,9,0,69.2,3.00,0,0,0,-,1,0.33,13,2,3,4,20.0,0,0.0,0.0,-
21,,和井田 剛史,3,■,■,■,,,24,14,0,58.3,4.67,9,5,0,55.6,0,-,8,1,2,3,19.4,1,1.0,0.0,100.0
22,L,吉野 淳,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,8.0,0.0,88.9
23,,芳賀 広大,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,76,42,6,55.3,14.00,20,11,3,55.0,4,1.33,74,7,12,25,16.8,47,35.0,0.0,74.5
