背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,坂口 慧,2,■,■,,,,5,2,0,40.0,1.00,0,0,0,-,1,0.50,6,1,3,1,17.5,0,0.0,0.0,-
2,,渕江 陵友,3,,■,■,■,,17,7,3,41.2,2.33,0,0,0,-,1,0.33,13,0,1,1,1.9,13,8.0,0.0,61.5
3,,浅川 成也,1,■,,,,,6,1,2,16.7,1.00,0,0,0,-,1,1.00,3,0,1,0,0.0,2,2.0,0.0,100.0
4,,渡邉 敬太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,徳尾 直哉,4,■,■,■,■,,39,17,4,43.6,4.25,9,6,0,66.7,0,-,19,1,5,2,7.9,32,26.0,0.0,81.2
7,,東野 晴輝,4,■,■,■,■,,5,1,0,20.0,0.25,0,0,0,-,2,0.50,17,0,0,5,7.4,0,0.0,0.0,-
8,,清水 隆平,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-
9,,大保 亮太朗,4,■,■,■,■,,17,7,2,41.2,1.75,0,0,0,-,1,0.25,16,1,0,1,6.6,1,1.0,0.0,100.0
10,,上原 大,4,■,■,■,■,,26,14,2,53.8,3.50,0,0,0,-,3,0.75,14,0,1,3,5.4,4,4.0,0.0,100.0
11,L,福島 孝輝,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,18.0,0.0,90.0
14,,二宮 弘樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,大泊 進祐,3,,□,■,■,,1,0,0,0.0,-,0,0,0,-,3,1.00,7,0,2,1,3.6,1,1.0,0.0,100.0
チーム合計,チーム合計,チーム合計,4,,,,,,116,49,13,42.2,12.25,9,6,0,66.7,12,3.00,96,3,14,14,6.4,73,60.0,0.0,82.2
