背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,岡本 侑,5,■,■,■,■,■,36,16,5,44.4,3.20,8,2,3,25.0,0,-,23,1,4,10,14.3,42,34.0,0.0,81.0
2,L,奥平 祐介,2,,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,9.0,0.0,56.2
3,,明石 良介,2,,□,,,□,0,0,0,-,-,0,0,0,-,0,-,2,0,2,0,0.0,0,0.0,0.0,-
4,,今田 善仁,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0.0,0.0,-
5,L,大賀 惠介,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,15.0,0.0,78.9
6,,橋本 峻介,5,■,■,■,■,■,16,10,0,62.5,2.00,0,0,0,-,1,0.20,15,0,1,3,5.0,1,1.0,0.0,100.0
7,,田畑 翔伍,3,■,■,■,,,11,3,1,27.3,1.00,0,0,0,-,1,0.33,10,0,1,6,15.0,7,5.0,0.0,71.4
9,,内園 徹,4,□,□,□,,□,0,0,0,-,-,0,0,0,-,0,-,5,1,0,1,25.0,0,0.0,0.0,-
10,,松本 永志,5,■,■,■,■,■,57,26,3,45.6,5.20,21,8,1,38.1,1,0.20,16,0,0,3,4.7,0,0.0,0.0,-
11,,毛利 光生,5,■,■,■,■,■,6,2,1,33.3,0.40,1,0,0,0.0,1,0.20,18,0,2,6,8.3,0,0.0,0.0,-
13,,平田 英貴,2,,,,■,■,8,4,0,50.0,2.00,0,0,0,-,0,-,3,0,1,0,0.0,0,0.0,0.0,-
14,,森田 有智夢,3,,,□,■,■,18,8,4,44.4,2.67,5,1,3,20.0,1,0.33,8,1,2,2,16.2,9,5.0,0.0,55.6
17,,本多 尚也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,松田 祐和,3,■,■,■,,,7,2,1,28.6,0.67,0,0,0,-,2,0.67,9,0,1,6,16.7,1,0.0,0.0,0.0
チーム合計,チーム合計,チーム合計,5,,,,,,159,71,15,44.7,14.20,35,11,7,31.4,7,1.40,111,3,14,39,11.1,95,69.0,0.0,72.6
