背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,木場田 和希,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,1,12.5,0,0.0,0.0,-
3,,阿部 領太,1,,□,,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,池田 龍之介,3,■,■,■,,,13,9,0,69.2,3.00,4,3,0,75.0,0,-,14,3,4,5,26.1,4,2.0,0.0,50.0
5,,橋本 大樹,1,■,,,,,6,3,0,50.0,3.00,0,0,0,-,1,1.00,2,0,0,2,25.0,0,0.0,0.0,-
6,,高橋 貴広,3,■,■,■,,,9,6,0,66.7,2.00,0,0,0,-,0,-,8,0,0,5,15.6,0,0.0,0.0,-
8,,石垣 公也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,井口 拓也,2,■,■,,,,10,4,2,40.0,2.00,1,0,1,0.0,1,0.50,7,0,0,3,10.7,14,6.0,0.0,42.9
10,,山田 要平,3,■,■,■,,,3,1,0,33.3,0.33,0,0,0,-,3,1.00,13,2,0,5,23.5,1,0.0,0.0,0.0
11,L,辻口 智也,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,2.0,0.0,22.2
13,,細井 規貴,3,■,■,■,,,17,9,0,52.9,3.00,6,5,0,83.3,2,0.67,10,1,6,1,10.5,0,0.0,0.0,-
15,,田中 挙章,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,L,迫谷 竜児,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,大道 大輔,2,,■,■,,,6,6,0,100.0,3.00,0,0,0,-,0,-,12,0,1,6,12.5,0,0.0,0.0,-
19,,辻口 泰地,3,□,□,■,,,6,4,0,66.7,1.33,2,1,0,50.0,0,-,5,0,0,2,10.0,10,7.0,0.0,70.0
チーム合計,チーム合計,チーム合計,3,,,,,,71,42,2,59.2,14.00,13,9,1,69.2,7,2.33,73,6,12,30,17.1,38,17.0,0.0,44.7
