背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
4,,加藤 啓,3,■,■,■,,,9,7,0,77.8,2.33,0,0,0,-,1,0.33,5,0,0,2,10.0,0,0.0,0.0,-
5,L,平林 康裕,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,松本 幸博,2,□,■,,,,9,3,0,33.3,1.50,0,0,0,-,0,-,4,0,1,2,12.5,12,7.0,0.0,58.3
8,L,石川 俊輔,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,10.0,0.0,83.3
9,,進藤 佑一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,豊田 将人,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-
11,,冨吉 駿平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,小川 功太,2,■,,■,,,13,4,2,30.8,2.00,2,2,0,100.0,0,-,4,0,0,1,6.2,12,4.0,0.0,33.3
13,,中村 航太朗,3,■,■,■,,,18,6,1,33.3,2.00,4,1,1,25.0,1,0.33,14,1,4,4,12.9,21,16.0,0.0,76.2
14,,中道 元貴,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,13,1,3,5,15.8,1,0.0,0.0,0.0
16,,菅原 規人,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-
17,,佐藤 秀俊,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-
20,,鈴木 雅史,3,■,■,■,,,13,3,1,23.1,1.00,0,0,0,-,0,-,4,0,0,0,0.0,1,0.0,0.0,0.0
25,,金丸 将大,3,■,■,■,,,24,5,1,20.8,1.67,7,0,1,0.0,0,-,7,0,1,1,3.6,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,87,29,5,33.3,9.67,13,3,2,23.1,2,0.67,58,2,10,16,9.7,59,37.0,0.0,62.7
