背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,L,川崎 翔太,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,8,7.0,1.0,93.8
2,,加藤 克貴,1,,,□,,,3,1,0,33.3,1.00,0,0,0,-,0,-,2,0,0,1,12.5,10,0.0,6.0,30.0
3,,小島 大輝,3,■,■,■,,,11,6,1,54.5,2.00,0,0,0,-,4,1.33,9,0,0,5,13.9,0,0.0,0.0,-
5,,佐藤 匠,3,■,■,■,,,8,4,2,50.0,1.33,0,0,0,-,1,0.33,12,0,1,4,6.2,0,0.0,0.0,-
6,,浜田 翔太,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,3,1.00,6,0,1,1,0.0,0,0.0,0.0,-
7,,笠原 啓太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,川畑 貴裕,3,■,■,■,,,21,6,2,28.6,2.00,0,0,0,-,2,0.67,8,0,1,1,0.0,10,6.0,1.0,65.0
12,,高橋 頌,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,5.0,1.0,91.7
16,,林 佑樹,3,■,■,■,,,7,3,1,42.9,1.00,0,0,0,-,1,0.33,6,0,1,1,0.0,30,8.0,14.0,50.0
17,,茂木 祐太,1,□,,,,,8,2,1,25.0,2.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,前田 将武,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
21,,石井 和希,3,■,■,■,,,31,12,3,38.7,4.00,8,2,1,25.0,0,-,13,0,0,3,5.8,1,0.0,0.0,0.0
23,,本田 幸誠,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
24,,冨永 航一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,90,34,10,37.8,11.33,8,2,1,25.0,11,3.67,58,0,4,16,5.2,65,26.0,23.0,57.7
