背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,伊澤 啓生,4,,■,■,■,■,38,20,2,52.6,5.00,6,3,1,50.0,0,-,12,0,3,2,-2.1,9,5.0,3.0,72.2
2,,渡邊 和馬,4,□,□,,□,□,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0.0,0.0,-
4,,田中 尚,5,■,■,■,■,■,13,11,0,84.6,2.20,0,0,0,-,2,0.40,15,0,0,2,3.3,2,0.0,2.0,50.0
5,,平野 晃多,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,後藤 万澄,5,■,■,■,■,■,9,6,0,66.7,1.20,0,0,0,-,1,0.20,10,0,1,1,0.0,0,0.0,0.0,-
7,,津田 大地,5,■,■,■,■,■,18,9,0,50.0,1.80,5,2,0,40.0,1,0.20,17,0,3,0,-4.4,26,12.0,11.0,67.3
8,,藤元 公貴,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,長谷川 優太,5,■,■,■,■,■,2,2,0,100.0,0.40,1,1,0,100.0,0,-,14,0,2,0,-3.6,0,0.0,0.0,-
10,,二五田 大輔,3,■,,,■,■,15,10,1,66.7,3.33,3,3,0,100.0,0,-,15,0,1,5,6.7,19,9.0,5.0,60.5
11,L,嶋田 希隆,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,25,13.0,8.0,68.0
17,,舩倉 拓登,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
18,,寺尾 壮太,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,宮原 博明,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
20,,木村 拓哉,3,■,■,■,,,24,10,1,41.7,3.33,13,5,1,38.5,1,0.33,13,1,3,0,1.9,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,119,68,4,57.1,13.60,28,14,2,50.0,5,1.00,103,1,13,11,0.5,81,39.0,29.0,66.0
