背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,田中 一彰,3,■,■,■,,,19,7,1,36.8,2.33,0,0,0,-,0,-,16,1,3,5,9.4,17,14.0,2.0,88.2
3,,野垣 昂大,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,1,0.33,7,0,1,0,-3.6,0,0.0,0.0,-
4,,石川 和樹,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0.0,0.0,-
5,,松永 崚汰,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
6,L,米村 尊,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,長谷川 博紀,3,■,■,■,,,19,11,0,57.9,3.67,0,0,0,-,2,0.67,4,0,2,0,-12.5,0,0.0,0.0,-
11,,前川 将太,3,■,□,■,,,15,10,1,66.7,3.33,1,1,0,100.0,0,-,8,0,1,3,6.2,6,4.0,1.0,75.0
12,L,大浦坂 健太,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,35,26.0,5.0,81.4
15,,茶屋道 康輔,2,■,■,,,,10,3,1,30.0,1.50,0,0,0,-,1,0.50,8,2,1,0,21.9,0,0.0,0.0,-
19,,中村 有登,3,■,■,■,,,17,6,2,35.3,2.00,7,3,1,42.9,1,0.33,12,0,0,5,10.4,0,0.0,0.0,-
20,,落合 一輝,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,2,0,-12.5,0,0.0,0.0,-
21,,上出 哲也,1,,,■,,,5,2,1,40.0,2.00,0,0,0,-,0,-,4,0,1,1,0.0,0,0.0,0.0,-
23,,北田 陽季,2,,■,□,,,21,6,4,28.6,3.00,9,2,2,22.2,0,-,7,0,1,2,3.6,0,0.0,0.0,-
39,,諏訪 晃大,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,107,45,10,42.1,15.00,17,6,3,35.3,5,1.67,74,3,13,16,5.1,58,44.0,8.0,82.8
