背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,酒井 駿,4,■,■,■,■,,37,16,6,43.2,4.00,4,2,1,50.0,2,0.50,14,0,1,1,0.0,21,8.0,6.0,52.4
2,,鰐川 怜児,4,■,■,■,■,,9,5,0,55.6,1.25,0,0,0,-,1,0.25,12,0,3,2,-2.1,1,0.0,1.0,50.0
3,L,三角 尚久,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,渡部 勇人,4,■,■,■,□,,1,0,0,0.0,-,0,0,0,-,0,-,16,1,1,2,7.8,1,0.0,0.0,0.0
5,,浅田 潮,4,■,■,■,■,,18,5,2,27.8,1.25,0,0,0,-,2,0.50,15,0,0,6,10.0,27,10.0,3.0,42.6
6,,松下 祐太,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,4.0,1.0,75.0
7,,石坂 ハスナヌ,4,■,■,■,■,,14,6,3,42.9,1.50,0,0,0,-,4,1.00,13,0,1,1,0.0,0,0.0,0.0,-
8,,笹岡 凪斗,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-
9,,高瀬 太一,4,■,■,■,■,,24,13,5,54.2,3.25,10,7,2,70.0,0,-,9,0,2,3,2.8,0,0.0,0.0,-
10,,柳生 大成,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,L,山田 広大,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,6.0,62.5
14,,高井 大輝,3,□,,□,■,,0,0,0,-,-,0,0,0,-,0,-,6,0,0,1,4.2,0,0.0,0.0,-
15,,曾根 裕也,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,103,45,16,43.7,11.25,14,9,3,64.3,9,2.25,89,1,8,17,3.7,72,29.0,17.0,52.1
