背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,高野 優,3,■,■,■,,,3,1,0,33.3,0.33,0,0,0,-,0,-,5,0,1,2,10.0,0,0.0,0.0,-
2,,佐藤 由香,3,■,■,■,,,17,6,1,35.3,2.00,0,0,0,-,1,0.33,12,0,0,3,6.2,16,14.0,0.0,87.5
3,,李 妍,3,■,■,■,,,23,5,1,21.7,1.67,0,0,0,-,2,0.67,4,0,0,0,0.0,0,0.0,0.0,-
4,,遊佐 理英子,3,■,■,■,,,13,5,1,38.5,1.67,0,0,0,-,1,0.33,3,0,0,1,8.3,11,6.0,0.0,54.5
5,,藤原 由加,1,,,□,,,3,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,1,1.0,0.0,100.0
6,,佐藤 奈美,3,■,■,■,,,13,3,1,23.1,1.00,0,0,0,-,2,0.67,7,0,1,1,3.6,0,0.0,0.0,-
7,,角掛 由貴,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
8,L,渡辺 エミ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,11.0,0.0,68.8
9,,小野 裕美子,3,■,■,■,,,13,3,1,23.1,1.00,0,0,0,-,0,-,11,0,2,1,2.3,18,11.0,0.0,61.1
10,,常盤 知花,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,佐々木 瞳,1,,□,,,,6,1,0,16.7,1.00,0,0,0,-,0,-,2,0,0,0,0.0,4,2.0,0.0,50.0
12,,相田 好美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,91,24,5,26.4,8.00,0,0,0,-,6,2.00,46,0,4,8,4.3,66,45.0,0.0,68.2
