背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,谷口 由美恵,4,■,■,■,■,,33,21,2,63.6,5.25,0,0,0,-,0,-,14,1,0,3,11.1,27,19.0,0.0,70.4
2,,城戸 浩子,4,■,■,■,■,,35,13,4,37.1,3.25,4,0,1,0.0,1,0.25,22,3,4,4,16.4,10,6.0,0.0,60.0
4,,岩本 理恵,2,□,,,□,,11,7,0,63.6,3.50,0,0,0,-,1,0.50,3,0,0,1,8.3,3,1.0,0.0,33.3
5,,三崎 栄子,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,9,0,1,2,5.6,0,0.0,0.0,-
6,,萩生田 弘美,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,0,-,18,1,1,6,12.8,0,0.0,0.0,-
7,,田巻 由貴子,4,■,■,■,■,,10,3,1,30.0,0.75,0,0,0,-,0,-,17,0,0,2,2.9,0,0.0,0.0,-
8,,北島 愛,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,日高 愛,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,高橋 めぐみ,4,■,■,■,■,,27,12,1,44.4,3.00,0,0,0,-,3,0.75,8,0,0,2,6.2,3,2.0,0.0,66.7
11,L,松田 直子,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,9.0,0.0,64.3
12,,長野 友紀,4,■,■,■,■,,37,16,0,43.2,4.00,0,0,0,-,1,0.25,12,0,0,1,2.1,22,14.0,0.0,63.6
14,,福原 智美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,154,73,8,47.4,18.25,4,0,1,0.0,6,1.50,103,5,6,21,9.2,79,51.0,0.0,64.6
