背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,木村 有希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,丸山 舞子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,畑中 宏美,3,■,■,■,,,17,7,1,41.2,2.33,0,0,0,-,0,-,18,1,2,6,12.8,38,23.0,0.0,60.5
7,,小坂 恵里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,中野 清香,3,■,■,■,,,49,22,0,44.9,7.33,12,3,0,25.0,0,-,13,1,2,5,15.8,0,0.0,0.0,-
9,,寺沢 美香,3,■,■,■,,,21,6,3,28.6,2.00,0,0,0,-,1,0.33,11,0,2,5,11.4,1,0.0,0.0,0.0
10,,坂田 亜弥,3,■,■,■,,,14,7,1,50.0,2.33,0,0,0,-,2,0.67,9,1,0,3,17.2,0,0.0,0.0,-
11,,槌谷 優,3,■,■,■,,,39,11,2,28.2,3.67,0,0,0,-,0,-,12,0,1,4,8.3,15,11.0,0.0,73.3
12,,星 亜矢子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,黒川 朝加,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,12,1,0,2,10.8,0,0.0,0.0,-
14,L,林 蓉子,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,11,8.0,0.0,72.7
15,,横江 千秋,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,141,54,7,38.3,18.00,12,3,0,25.0,3,1.00,75,4,7,25,12.6,65,42.0,0.0,64.6
