背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,井田 彩奈,3,■,■,■,,,16,9,1,56.2,3.00,0,0,0,-,1,0.33,7,0,1,3,10.7,0,0.0,0.0,-
2,,浦辺 真希,3,■,■,■,,,22,8,2,36.4,2.67,1,0,0,0.0,1,0.33,13,1,1,7,21.2,28,19.0,0.0,67.9
3,,大槻 めぐみ,1,,□,,,,0,0,0,-,-,0,0,0,-,1,1.00,0,0,0,0,-,0,0.0,0.0,-
4,,内藤 絵莉香,3,■,■,■,,,4,0,0,0.0,-,1,0,0,0.0,0,-,13,2,0,5,21.9,0,0.0,0.0,-
5,,彦坂 香奈,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-
6,,木村 雅世,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,L,仁里 奈那美,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,21,17.0,0.0,81.0
8,,笠松 真梨奈,3,■,■,■,,,29,17,1,58.6,5.67,0,0,0,-,1,0.33,11,0,1,5,11.4,2,0.0,0.0,0.0
9,,平山 麻里,2,,□,■,,,6,3,0,50.0,1.50,0,0,0,-,1,0.50,7,0,1,2,7.1,0,0.0,0.0,-
11,,岡 夏美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,L,松田 亜也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,井上 奈々朱,2,■,■,,,,7,1,2,14.3,0.50,0,0,0,-,0,-,9,0,0,3,8.3,0,0.0,0.0,-
14,,高橋 菜穂子,3,■,■,■,,,29,12,0,41.4,4.00,1,0,0,0.0,0,-,13,1,0,6,17.7,10,4.0,0.0,40.0
チーム合計,チーム合計,チーム合計,3,,,,,,113,50,6,44.2,16.67,3,0,0,0.0,5,1.67,74,4,4,32,15.4,61,40.0,0.0,65.6
