背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,餅田 千佳,3,■,■,■,,,26,14,1,53.8,4.67,0,0,0,-,1,0.33,14,1,0,3,11.1,22,15.0,0.0,68.2
2,,松永 真果,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,大久保 梨紗,3,■,■,■,,,12,5,0,41.7,1.67,0,0,0,-,2,0.67,8,0,0,1,3.1,18,11.0,0.0,61.1
4,,時長 真菜,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
5,,塚原 佳代子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,東山 由香,3,■,■,■,,,4,1,0,25.0,0.33,0,0,0,-,2,0.67,11,0,1,4,9.1,0,0.0,0.0,-
8,L,足立 史織,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,7,3.0,0.0,42.9
9,,松下 琴美,3,■,■,■,,,10,5,1,50.0,1.67,0,0,0,-,4,1.33,11,1,0,2,11.8,0,0.0,0.0,-
11,,佐藤 奈美,3,■,■,■,,,11,2,0,18.2,0.67,0,0,0,-,2,0.67,12,0,0,4,8.3,0,0.0,0.0,-
12,,砂田 遥,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,鈴木 未来,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,清水 亜寿里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,川上 真央,3,■,■,■,,,30,17,0,56.7,5.67,0,0,0,-,4,1.33,16,2,1,4,17.5,11,5.0,0.0,45.5
17,L,加藤 星奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,93,44,2,47.3,14.67,0,0,0,-,15,5.00,73,4,2,18,10.8,58,34.0,0.0,58.6
