背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,山田 江美香,4,■,■,■,■,,35,11,1,31.4,2.75,1,1,0,100.0,1,0.25,16,1,2,6,14.4,21,9.0,0.0,42.9
2,,湯川 理奈,4,■,■,■,■,,21,12,3,57.1,3.00,0,0,0,-,1,0.25,15,0,2,7,11.7,0,0.0,0.0,-
4,,川村 奈々,2,,,■,■,,24,6,1,25.0,3.00,2,0,0,0.0,2,1.00,7,0,1,3,10.7,0,0.0,0.0,-
6,,坂本 育美,4,■,■,■,■,,3,1,1,33.3,0.25,0,0,0,-,0,-,18,0,2,6,8.3,0,0.0,0.0,-
8,,樋口 美紀,4,■,■,■,■,,23,10,0,43.5,2.50,0,0,0,-,1,0.25,12,1,0,4,15.0,0,0.0,0.0,-
9,L,森岡 裕子,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,33,23.0,0.0,69.7
10,,中村 早紀子,4,■,■,■,■,,57,17,0,29.8,4.25,2,1,0,50.0,0,-,12,0,1,3,6.2,32,25.0,0.0,78.1
11,,大西 悠加,2,■,■,,,,20,3,3,15.0,1.50,2,0,1,0.0,0,-,4,0,1,1,6.2,7,3.0,0.0,42.9
12,,廣瀬 彩乃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,L,塚本 尚子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,高野 奈保,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,正村 さやか,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,藤原 夏海,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,183,60,9,32.8,15.00,7,2,1,28.6,5,1.25,84,2,9,30,10.8,93,60.0,0.0,64.5
