背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,重松 史乃,3,■,■,■,,,3,0,0,0.0,-,0,0,0,-,0,-,6,0,0,2,8.3,0,0.0,0.0,-
2,,小川 晴菜,1,,,■,,,7,4,1,57.1,4.00,2,0,1,0.0,0,-,2,0,1,1,12.5,1,0.0,0.0,0.0
3,,豊田 みづき,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
4,L,平岩 沙紀,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,11.0,0.0,64.7
5,L,篠木 梨奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,長岡 藍,3,■,■,■,,,47,7,6,14.9,2.33,9,1,2,11.1,0,-,3,0,0,2,16.7,0,0.0,0.0,-
7,,小寺 まどか,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,1,1,5.0,7,5.0,0.0,71.4
8,,三浦 あゆみ,3,■,■,■,,,18,1,2,5.6,0.33,3,0,0,0.0,0,-,3,0,1,0,0.0,38,25.0,0.0,65.8
9,,秋満 由紀子,1,,■,,,,10,1,1,10.0,1.00,1,0,0,0.0,0,-,2,0,0,0,0.0,1,1.0,0.0,100.0
10,,山口 弥緒,1,■,,,,,6,1,1,16.7,1.00,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,0.0,0.0
11,,岩島 みなみ,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,見崎 真琴,3,■,■,■,,,14,3,0,21.4,1.00,0,0,0,-,0,-,7,0,0,2,7.1,0,0.0,0.0,-
15,,鈴木 亜矢子,2,,□,□,,,6,1,0,16.7,0.50,0,0,0,-,1,0.50,1,0,0,1,25.0,0,0.0,0.0,-
16,,菊地 めぐみ,3,■,■,■,,,9,2,1,22.2,0.67,0,0,0,-,2,0.67,9,2,0,2,25.6,2,1.0,0.0,50.0
チーム合計,チーム合計,チーム合計,3,,,,,,121,21,12,17.4,7.00,15,1,3,6.7,3,1.00,40,2,3,11,11.4,67,43.0,0.0,64.2
