背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,矢山 美沙,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,平川 実愛,3,■,■,■,,,21,5,1,23.8,1.67,0,0,0,-,1,0.33,10,0,2,6,15.0,15,6.0,0.0,40.0
3,L,福田 有里,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,田井 琴美,3,■,■,■,,,16,3,0,18.8,1.00,0,0,0,-,0,-,9,0,0,6,16.7,9,2.0,0.0,22.2
5,,大楠 鼓雪,3,■,■,■,,,16,3,1,18.8,1.00,0,0,0,-,2,0.67,11,3,0,6,37.3,0,0.0,0.0,-
7,,押川 真保,3,■,■,■,,,11,6,1,54.5,2.00,0,0,0,-,1,0.33,3,0,0,1,8.3,1,0.0,0.0,0.0
8,,吉安 遥,3,■,■,■,,,26,5,3,19.2,1.67,1,0,0,0.0,2,0.67,12,0,1,8,16.7,14,5.0,0.0,35.7
9,,松本 晴香,3,■,■,■,,,37,8,3,21.6,2.67,4,3,0,75.0,0,-,11,0,0,6,13.6,0,0.0,0.0,-
10,L,馬場 ゆりか,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,8.0,0.0,42.1
11,,板谷 美優,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,0.0,0.0,0.0
12,,高本 佳澄,1,,,□,,,2,1,0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0
13,,高桑 冬華,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0.0,0.0,-
15,,押川 未幸,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,129,31,9,24.0,10.33,5,3,0,60.0,6,2.00,59,3,4,33,18.4,61,21.0,0.0,34.4
