背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,井上 実咲,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,雨堤 みなみ,5,■,■,■,■,■,53,19,3,35.8,3.80,0,0,0,-,1,0.20,13,0,3,9,17.3,23,6.0,0.0,26.1
3,,芳賀 小梨絵,4,■,,■,■,■,2,1,0,50.0,0.25,0,0,0,-,0,-,14,0,0,6,10.7,0,0.0,0.0,-
4,,櫻井 樹里,5,■,■,■,■,■,10,4,0,40.0,0.80,0,0,0,-,1,0.20,19,1,1,6,12.1,28,12.0,0.0,42.9
6,,荻野 雅子,4,□,,□,□,□,1,0,0,0.0,-,0,0,0,-,0,-,5,0,1,2,10.0,1,0.0,0.0,0.0
7,,渡邉 和香里,2,,□,,,□,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,4.0,0.0,66.7
8,,中野 清香,5,■,■,■,■,■,80,28,5,35.0,5.60,1,0,0,0.0,3,0.60,16,0,2,7,10.9,3,2.0,0.0,66.7
9,,笹山 みなみ,3,□,■,,,□,0,0,0,-,-,0,0,0,-,0,-,4,0,1,2,12.5,0,0.0,0.0,-
10,L,田崎 愛果,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,渡邊 彩,5,■,■,■,■,■,38,20,2,52.6,4.00,0,0,0,-,6,1.20,21,1,0,11,16.9,0,0.0,0.0,-
12,,渡邊 沙織,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,2.0,0.0,33.3
13,L,大内 世莉香,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,39,25.0,0.0,64.1
14,,渡邉 愛以,5,■,■,■,■,■,17,5,1,29.4,1.00,0,0,0,-,3,0.60,21,0,0,7,8.3,1,1.0,0.0,100.0
15,,佐々木 香織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,201,77,11,38.3,15.40,1,0,0,0.0,14,2.80,113,2,8,50,12.5,107,52.0,0.0,48.6
