背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,竹本 由美,4,■,■,■,■,,4,2,0,50.0,0.50,0,0,0,-,0,-,13,0,1,5,9.6,0,0.0,0.0,-
3,,座安 好香,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,2,10.0,2,1.0,0.0,50.0
4,,石川 綾菜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
5,,渡邊 美菜,4,■,■,■,■,,31,5,1,16.1,1.25,0,0,0,-,0,-,15,0,0,6,10.0,0,0.0,0.0,-
7,,江森 圭美,4,■,■,■,■,,30,13,2,43.3,3.25,1,0,0,0.0,0,-,14,1,1,2,10.7,28,16.0,0.0,57.1
9,,高桑 裕恵,4,■,■,■,■,,18,3,1,16.7,0.75,0,0,0,-,1,0.25,11,0,0,1,2.3,1,1.0,0.0,100.0
10,L,定別當 彩,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,8.0,0.0,50.0
12,,佐藤 舞,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,清水 玲衣,4,■,■,■,■,,53,17,1,32.1,4.25,3,1,0,33.3,1,0.25,17,1,2,5,12.1,4,4.0,0.0,100.0
16,,鈴木 悠佳子,4,■,■,■,■,,43,17,2,39.5,4.25,1,1,0,100.0,3,0.75,11,0,0,5,11.4,36,16.0,0.0,44.4
チーム合計,チーム合計,チーム合計,4,,,,,,179,57,7,31.8,14.25,5,2,0,40.0,5,1.25,86,2,4,26,9.7,87,46.0,0.0,52.9
