背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,丸山 紗季,1,,,□,,,2,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
2,,倉見 夏乃,3,■,■,■,,,6,2,0,33.3,0.67,0,0,0,-,4,1.33,9,1,0,4,22.2,1,0.0,0.0,0.0
3,,和才 奈々美,3,■,■,■,,,41,12,4,29.3,4.00,2,0,0,0.0,2,0.67,14,1,0,8,20.0,29,19.0,0.0,65.5
4,,古屋 美紀,3,■,■,■,,,8,2,1,25.0,0.67,0,0,0,-,1,0.33,7,1,1,2,21.4,0,0.0,0.0,-
5,,色摩 知巳,1,,□,,,,5,2,0,40.0,2.00,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0
6,,宮城 奈菜子,1,,,□,,,2,1,0,50.0,1.00,0,0,0,-,0,-,2,1,0,0,50.0,0,0.0,0.0,-
7,L,駒井 士峰,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,10.0,0.0,62.5
8,,南 美寿希,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,13,0,0,6,11.5,1,0.0,0.0,0.0
9,,厨子 真帆,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
10,,菅野 菜緒美,3,■,■,■,,,23,9,0,39.1,3.00,1,1,0,100.0,2,0.67,7,0,1,4,14.3,8,4.0,0.0,50.0
11,,平谷 里奈,1,,,□,,,3,2,1,66.7,2.00,1,0,1,0.0,0,-,4,1,1,1,26.2,5,5.0,0.0,100.0
12,,太田 あかり,3,■,■,■,,,42,12,3,28.6,4.00,3,2,0,66.7,3,1.00,16,0,0,6,9.4,0,0.0,0.0,-
13,,吉川 ひかる,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,L,大盛 梢,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,133,43,9,32.3,14.33,7,3,1,42.9,12,4.00,74,5,3,32,17.0,61,38.0,0.0,62.3
