背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,岩崎 こよみ,3,■,■,■,,,2,1,1,50.0,0.33,0,0,0,-,2,0.67,13,0,1,3,5.8,0,0.0,0.0,-
3,,南 早希,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-
4,,近藤 志歩,3,■,■,■,,,17,7,2,41.2,2.33,0,0,0,-,2,0.67,9,1,1,0,11.1,16,14.0,0.0,87.5
5,,竹田 江里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,有田 沙織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,L,山岸 あかね,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,15.0,0.0,100.0
8,,松本 亜弥華,3,■,■,■,,,16,7,1,43.8,2.33,0,0,0,-,1,0.33,12,0,2,4,8.3,0,0.0,0.0,-
9,,三浦 茉実,3,□,□,□,,,12,3,0,25.0,1.00,0,0,0,-,0,-,1,0,0,1,25.0,2,2.0,0.0,100.0
11,,青柳 京古,3,■,■,■,,,17,11,1,64.7,3.67,2,0,0,0.0,1,0.33,15,3,2,0,18.7,0,0.0,0.0,-
17,,小笹 奈津子,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,4,4.0,0.0,100.0
19,,荒木 夕貴,3,■,■,■,,,34,10,3,29.4,3.33,0,0,0,-,0,-,13,0,0,2,3.8,12,8.0,0.0,66.7
20,,丸山 裕子,3,■,■,■,,,14,8,1,57.1,2.67,0,0,0,-,2,0.67,7,0,2,1,3.6,0,0.0,0.0,-
22,L,七種 友紀子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
23,,大室 璃紗,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,1,12.5,4,4.0,0.0,100.0
チーム合計,チーム合計,チーム合計,3,,,,,,112,47,9,42.0,15.67,2,0,0,0.0,8,2.67,73,4,9,13,9.7,53,47.0,0.0,88.7
