背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
4,,工藤 嶺,2,■,■,,,,13,2,0,15.4,1.00,4,1,0,25.0,0,-,8,1,0,5,25.6,4,4.0,0.0,100.0
5,,石井 里沙,4,■,■,■,■,,19,11,2,57.9,2.75,3,0,1,0.0,0,-,13,0,0,9,17.3,0,0.0,0.0,-
6,,鈴木 裕子,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
7,,中川 千世,2,,,□,□,,3,2,0,66.7,1.00,0,0,0,-,0,-,2,0,0,0,0.0,7,7.0,0.0,100.0
9,L,小口 樹葉,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,13.0,0.0,65.0
10,,森田 麻実子,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0.0,0.0,-
11,,宮本 菜月,1,,,,□,,0,0,0,-,-,0,0,0,-,1,1.00,0,0,0,0,-,0,0.0,0.0,-
12,,大竹 里歩,4,■,■,■,■,,32,17,0,53.1,4.25,0,0,0,-,1,0.25,14,0,2,6,10.7,1,1.0,0.0,100.0
13,L,山田 美花,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,鍋谷 友理枝,3,,□,■,■,,22,6,0,27.3,2.00,2,0,0,0.0,1,0.33,13,1,1,10,26.9,14,13.0,0.0,92.9
16,,堀江 彩,3,□,□,□,,,7,3,1,42.9,1.00,0,0,0,-,1,0.33,5,0,1,1,5.0,0,0.0,0.0,-
17,,田原 愛里,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,1,0.25,15,0,2,8,13.3,0,0.0,0.0,-
21,,クリスティアネ フュルスト,4,■,■,■,■,,22,17,0,77.3,4.25,0,0,0,-,4,1.00,10,1,0,9,30.5,0,0.0,0.0,-
22,,石田 瑞穂,4,■,■,■,■,,34,12,2,35.3,3.00,3,1,0,33.3,1,0.25,12,0,2,5,10.4,19,14.0,0.0,73.7
チーム合計,チーム合計,チーム合計,4,,,,,,153,71,5,46.4,17.75,12,2,1,16.7,10,2.50,97,3,8,53,16.3,65,52.0,0.0,80.0
