背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,斉藤 千佳,4,■,■,■,■,,36,15,5,41.7,3.75,5,1,1,20.0,1,0.25,14,2,0,5,21.8,0,0.0,0.0,-
2,,山形 美沙紀,4,■,■,■,■,,45,5,2,11.1,1.25,1,0,0,0.0,0,-,10,0,0,2,5.0,34,13.0,0.0,38.2
3,,川口 美久,4,■,■,■,■,,38,12,0,31.6,3.00,0,0,0,-,0,-,10,0,1,0,0.0,34,14.0,0.0,41.2
5,,宮原 佳代,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,山田 真紀,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,船津 成美,4,■,■,■,■,,35,7,1,20.0,1.75,0,0,0,-,0,-,7,0,1,1,3.6,0,0.0,0.0,-
8,,佐藤 みなみ,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0
9,,酢田 眞実,4,■,■,■,■,,21,7,1,33.3,1.75,0,0,0,-,0,-,15,0,1,1,1.7,4,2.0,0.0,50.0
11,,岩永 明奈,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,1,0.25,11,0,0,4,9.1,2,0.0,0.0,0.0
13,,和多 桃子,1,□,,,,,1,0,0,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
15,,角野 僚架,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,L,中村 彩,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,6.0,0.0,46.2
チーム合計,チーム合計,チーム合計,4,,,,,,178,47,9,26.4,11.75,6,1,1,16.7,2,0.50,69,2,3,13,7.3,88,35.0,0.0,39.8
