背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,新井 祥,3,■,■,■,,,14,2,1,14.3,0.67,0,0,0,-,0,-,9,1,0,2,16.7,47,23.0,15.0,64.9
4,,佐藤 優花,3,■,■,■,,,44,13,3,29.5,4.33,11,5,1,45.5,1,0.33,10,0,0,2,5.0,0,0.0,0.0,-
5,,権藤 玲奈,3,■,■,■,,,33,7,5,21.2,2.33,2,0,0,0.0,0,-,7,0,1,0,-3.6,0,0.0,0.0,-
6,,佐藤 仁美,3,■,■,■,,,14,2,1,14.3,0.67,0,0,0,-,2,0.67,6,0,1,0,-4.2,2,2.0,0.0,100.0
7,L,後藤 真利,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,松尾 妃七菜,3,■,■,■,,,3,1,0,33.3,0.33,0,0,0,-,0,-,11,2,0,0,18.2,0,0.0,0.0,-
9,,廣田 唯,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
11,L,大橋 亜美,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,6.0,1.0,65.0
13,,竹内 碧,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-
14,,田戸 美咲,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,3,1.0,0.0,33.3
15,,一森 祐希奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,梅木 瞳,3,■,■,■,,,16,3,0,18.8,1.00,0,0,0,-,1,0.33,7,0,1,1,0.0,0,0.0,0.0,-
18,,浅野 美波,2,,□,□,,,7,4,0,57.1,2.00,0,0,0,-,0,-,2,0,0,0,0.0,8,3.0,3.0,56.2
19,,吉田 伽那,1,,□,,,,2,1,0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,133,33,10,24.8,11.00,13,5,1,38.5,4,1.33,54,3,4,5,6.0,70,35.0,19.0,63.6
