背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,梅木 夢乃,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,8,0,3,2,-3.1,0,0.0,0.0,-
3,,矢口 紗友美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
5,,寺田 遥,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,坂根 朱里,1,,■,,,,5,1,0,20.0,1.00,2,0,0,0.0,0,-,2,0,0,0,0.0,1,0.0,0.0,0.0
9,,張 歓歓,3,■,■,■,,,40,13,3,32.5,4.33,10,2,2,20.0,0,-,10,1,0,0,10.0,4,1.0,0.0,25.0
11,,栗栖 明歩,3,■,■,■,,,11,1,0,9.1,0.33,0,0,0,-,1,0.33,7,0,1,2,3.6,0,0.0,0.0,-
12,,吉田 珠菜,3,■,■,■,,,15,4,0,26.7,1.33,0,0,0,-,0,-,8,0,1,2,3.1,1,0.0,0.0,0.0
13,,原田 茉由,3,■,■,■,,,8,3,3,37.5,1.00,0,0,0,-,0,-,9,1,1,1,11.1,31,8.0,12.0,45.2
14,L,須田 美南,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,4.0,56.2
15,,不破 沙耶佳,2,■,,■,,,18,8,2,44.4,4.00,8,4,1,50.0,0,-,9,1,1,4,19.4,7,1.0,2.0,28.6
16,,松村 美空,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,園田 乃菜,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,5,2.0,2.0,60.0
20,,岩本 梨音,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,97,30,8,30.9,10.00,20,6,3,30.0,1,0.33,53,3,7,11,7.5,65,19.0,20.0,44.6
