背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,小坂 亜未,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,4,3.0,0.0,75.0
3,L,水谷 真友,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,6.0,2.0,58.3
4,,佐々木 里菜,2,□,,,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-
5,,高橋 愛未,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,岸村 恵実,4,■,■,■,■,,22,11,2,50.0,2.75,0,0,0,-,5,1.25,14,0,1,3,3.6,3,1.0,1.0,50.0
8,L,石井 彩,1,,,,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,平原 果歩,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,綱田 愛,2,□,,,□,,7,5,0,71.4,2.50,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,村山 美佳,4,■,■,■,■,,56,25,3,44.6,6.25,7,2,2,28.6,0,-,15,0,3,5,3.3,2,0.0,0.0,0.0
15,,平野 七菜,4,■,■,■,■,,33,10,2,30.3,2.50,0,0,0,-,1,0.25,12,1,0,5,18.8,26,12.0,5.0,55.8
16,,横田 実穂,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,0,-,11,0,0,2,4.5,0,0.0,0.0,-
17,,小茂田 夏海,4,■,■,■,■,,17,2,1,11.8,0.50,0,0,0,-,2,0.50,27,1,0,9,12.0,0,0.0,0.0,-
18,,岩本 周加,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,富澤 結花,4,■,■,■,■,,33,7,1,21.2,1.75,0,0,0,-,2,0.50,11,0,2,4,4.5,36,15.0,10.0,55.6
チーム合計,チーム合計,チーム合計,4,,,,,,170,61,9,35.9,15.25,7,2,2,28.6,10,2.50,94,2,6,30,8.5,83,37.0,18.0,55.4
