背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,渡邊 徹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,西原 康平,4,■,■,■,■,,40,15,4,37.5,3.75,4,1,1,25.0,0,-,21,1,3,4,6.0,18,9.0,2.0,55.6
4,,下町 浩二,4,■,■,■,■,,13,7,0,53.8,1.75,0,0,0,-,2,0.50,13,0,0,1,1.9,1,1.0,0.0,100.0
5,,石渡 瑛法,4,■,■,■,■,,29,7,7,24.1,1.75,0,0,0,-,1,0.25,15,0,1,5,6.7,34,24.0,7.0,80.9
6,,岩田 晃祐,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
10,L,足立 龍,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,14.0,3.0,70.5
11,,星宗 洋輔,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,古牧 佑太,3,□,,□,□,,2,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,村元 和人,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,1,0,0,33.3,0,0.0,0.0,-
14,,久堀 雄世,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,上 竣,4,■,■,■,■,,51,28,2,54.9,7.00,11,5,1,45.5,2,0.50,17,2,2,12,26.5,0,0.0,0.0,-
16,L,小寺 秀哉,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,碩 幸輝,4,■,■,■,■,,30,14,2,46.7,3.50,0,0,0,-,1,0.25,14,0,0,5,8.9,0,0.0,0.0,-
18,,南本 大貴,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,2,0.50,15,1,2,5,11.7,1,0.0,0.0,0.0
チーム合計,チーム合計,チーム合計,4,,,,,,166,72,15,43.4,18.00,15,6,2,40.0,8,2.00,100,5,8,32,11.0,76,48.0,12.0,71.1
