背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,浅野 晶,4,■,■,■,■,,38,12,2,31.6,3.00,7,4,1,57.1,2,0.50,14,0,1,4,5.4,15,9.0,4.0,73.3
2,,市川 一樹,3,■,■,■,,,14,7,0,50.0,2.33,0,0,0,-,1,0.33,14,1,0,2,10.7,25,12.0,6.0,60.0
5,,荒木 優,3,□,,□,■,,2,2,0,100.0,0.67,0,0,0,-,0,-,8,1,1,1,12.5,0,0.0,0.0,-
6,,中野 壮一朗,4,■,■,■,■,,15,8,2,53.3,2.00,0,0,0,-,7,1.75,11,0,1,1,0.0,0,0.0,0.0,-
7,,齋藤 貴紀,4,■,■,■,■,,10,5,0,50.0,1.25,1,1,0,100.0,2,0.50,13,0,2,4,3.8,1,0.0,0.0,0.0
8,,村松 俊輔,4,■,■,■,■,,57,21,6,36.8,5.25,19,7,2,36.8,1,0.25,20,1,4,5,6.2,1,1.0,0.0,100.0
9,,大井手 脩輔,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,吉岡 佳徳,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,11,0,2,2,0.0,0,0.0,0.0,-
11,,関根 翔太,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,2,0,-16.7,0,0.0,0.0,-
12,,大町 和幸,2,,,□,■,,11,3,0,27.3,1.50,0,0,0,-,0,-,5,0,0,0,0.0,8,3.0,1.0,43.8
13,L,古家 康隆,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,L,冷水 亮,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,34,20.0,11.0,75.0
17,,上田 日登,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,柳澤 利樹,2,□,□,,,,3,3,0,100.0,1.50,0,0,0,-,0,-,3,0,2,0,-16.7,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,150,61,10,40.7,15.25,27,12,3,44.4,13,3.25,102,3,15,19,3.9,84,45.0,22.0,66.7
