背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,山口 功太郎,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,田城 貴之,3,■,■,■,,,6,3,1,50.0,1.00,0,0,0,-,2,0.67,9,1,4,0,0.0,0,0.0,0.0,-
4,,古田 史郎,3,■,■,■,,,28,13,2,46.4,4.33,11,4,1,36.4,4,1.33,13,1,2,3,9.6,0,0.0,0.0,-
5,,家近 滉一,3,■,■,■,,,12,6,1,50.0,2.00,0,0,0,-,0,-,11,0,4,1,-6.8,22,11.0,5.0,61.4
6,,中村 修平,2,■,■,,,,0,0,0,-,-,0,0,0,-,0,-,7,1,2,1,10.7,0,0.0,0.0,-
7,,関根 俊哉,3,■,■,■,,,7,4,1,57.1,1.33,0,0,0,-,1,0.33,13,0,1,2,1.9,1,1.0,0.0,100.0
8,,野坂 尚哉,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,加藤 伊織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,L,白石 啓丈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,8.0,4.0,83.3
11,L,藤村 昇太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,佐々木 博秋,3,■,■,■,,,28,19,2,67.9,6.33,7,4,1,57.1,0,-,16,0,1,2,1.6,21,15.0,2.0,76.2
16,,杉谷 祐磨,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,辰巳 遼,1,,,■,,,0,0,0,-,-,0,0,0,-,1,1.00,5,0,1,0,-5.0,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,81,45,7,55.6,15.00,18,8,2,44.4,8,2.67,74,3,15,9,2.0,56,35.0,11.0,72.3
