背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,西澤 岳,4,■,■,■,■,,27,10,2,37.0,2.50,6,2,2,33.3,2,0.50,11,0,4,2,-4.5,2,0.0,1.0,25.0
2,,白川 佑樹,2,■,■,,,,20,11,2,55.0,5.50,9,6,0,66.7,0,-,4,0,0,1,6.2,0,0.0,0.0,-
5,,中野 将太,4,■,■,■,■,,3,0,0,0.0,-,1,0,0,0.0,1,0.25,15,1,5,2,1.7,0,0.0,0.0,-
7,,田中 寛人,4,■,■,■,■,,17,8,1,47.1,2.00,0,0,0,-,1,0.25,7,0,1,0,-3.6,1,0.0,1.0,50.0
8,,加藤 遼太,4,□,□,■,■,,14,5,1,35.7,1.25,0,0,0,-,0,-,9,0,1,1,0.0,3,0.0,1.0,16.7
10,L,奥長 勝之,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,34,14.0,7.0,51.5
11,,野里 正幸,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,4.0,1.0,75.0
12,,太田 友広,4,■,■,□,□,,17,5,0,29.4,1.25,2,1,0,50.0,0,-,12,1,2,2,8.3,10,6.0,3.0,75.0
13,,仲村 鴻輝,2,,,■,■,,3,1,0,33.3,0.50,0,0,0,-,1,0.50,6,0,0,0,0.0,1,0.0,1.0,50.0
14,,田中 佑輔,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-
17,,山本 翔耶,4,■,■,■,■,,16,6,3,37.5,1.50,1,0,0,0.0,1,0.25,12,0,0,1,2.1,27,13.0,10.0,66.7
22,,玉嶋 佑樹,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,2,0,-16.7,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,117,46,9,39.3,11.50,19,9,2,47.4,6,1.50,80,2,16,9,0.3,84,37.0,25.0,58.9
