背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,岩阪 健太郎,5,■,■,■,■,■,15,8,1,53.3,1.60,0,0,0,-,0,-,6,0,1,0,-4.2,0,0.0,0.0,-
2,,為我井 太也,5,■,■,■,■,■,3,1,0,33.3,0.20,0,0,0,-,3,0.60,16,1,4,6,9.4,0,0.0,0.0,-
4,,西河 孝太,5,■,■,■,■,■,37,14,4,37.8,2.80,1,1,0,100.0,1,0.20,19,0,1,2,1.3,56,16.0,23.0,49.1
5,L,峰尾 拓,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,21,8.0,7.0,54.8
6,,大貫 智博,4,□,,□,□,■,1,1,0,100.0,0.25,0,0,0,-,2,0.50,4,0,0,1,6.2,0,0.0,0.0,-
7,,石井 琢也,5,■,■,■,■,■,38,17,3,44.7,3.40,3,2,0,66.7,1,0.20,10,0,0,2,5.0,6,4.0,2.0,83.3
8,,西片 圭佑,5,□,□,□,■,■,9,4,0,44.4,0.80,5,2,0,40.0,0,-,13,0,1,4,5.8,1,0.0,1.0,50.0
9,,大楽 祥生,2,,□,□,,,3,1,0,33.3,0.50,1,1,0,100.0,0,-,1,0,0,0,0.0,1,0.0,1.0,50.0
13,,田中 湧朔,4,□,,□,□,□,0,0,0,-,-,0,0,0,-,0,-,4,0,1,0,-6.2,5,2.0,1.0,50.0
14,,岸 海斗,4,■,■,■,■,,5,0,1,0.0,-,0,0,0,-,2,0.50,10,1,3,1,5.0,0,0.0,0.0,-
21,,伊藤 優介,3,■,■,■,,,15,8,0,53.3,2.67,2,1,0,50.0,0,-,10,0,1,1,0.0,0,0.0,0.0,-
22,,松枝 寿明,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
28,,槌尾 健,2,,□,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,126,54,9,42.9,10.80,12,7,0,58.3,9,1.80,94,2,12,17,3.5,90,30.0,35.0,52.8
